"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","의료유사업종별명","직원수","자격증소유자수","보조직원수","시설관리자수","기타직원수","병상수","욕실면적","총면적",
"33","의료유사업","01_01_10_P","3620000","PHMB420103620020042400003","20100518","","03","폐업","03","폐업","20120430","","","","","","500867","광주광역시 북구 일곡동 846번지 2호 4층","광주광역시 북구 설죽로 513 (일곡동,4층)","","우리안마원","20120430174138","I","2018-08-31 23:59:59.0","안마원","190593.743048","189517.64969","안마원","1","","","","","1","","10",
"34","의료유사업","01_01_10_P","3620000","PHMB420023620020042400001","20021115","","03","폐업","03","폐업","20091224","","","","266-6672","","500100","광주광역시 북구 두암동 567번지 6호","광주광역시 북구 동문대로 169 (두암동)","","몽안마시술소","20091224162033","I","2018-08-31 23:59:59.0","안마시술소","193390.596994","186508.244661","안마시술소","2","","","","","20","","533.6",
"35","의료유사업","01_01_10_P","3620000","PHMB420033620020042400001","20030409","","03","폐업","03","폐업","20090608","20090409","20090608","","514-4838","","500070","광주광역시 북구 용봉동 1365번지 5호","광주광역시 북구 저불로 59 (용봉동)","","용봉안마시술소","20090608132750","I","2018-08-31 23:59:59.0","안마시술소","190372.950858","186746.132154","안마시술소","2","","","","","22","80","804.75",
"36","의료유사업","01_01_10_P","3620000","PHMB420083620020042400001","20080805","","03","폐업","03","폐업","20090709","20090429","20091029","","512-7412","","500170","광주광역시 북구 운암동 97번지 7호","광주광역시 북구 북문대로 11 (운암동)","","운암안마시술소","20090709134334","I","2018-08-31 23:59:59.0","안마시술소","189320.652303","186036.387027","안마시술소","2","","","","","18","138","672.94",
"37","의료유사업","01_01_10_P","3620000","PHMB420063620020042400001","20060920","","03","폐업","03","폐업","20141031","","","","","","500811","광주광역시 북구 두암1동 891번지 8호","광주광역시 북구 군왕로71번길 77 (두암동)","500811","7요경락지압원","20141031134044","I","2018-08-31 23:59:59.0","안마원","193409.041704","185484.979738","안마원","1","","","","","2","","83.5",
"38","의료유사업","01_01_10_P","3620000","PHMB420073620020042400001","20071220","","03","폐업","03","폐업","20081117","","","","511-6686","","500020","광주광역시 북구 유동 113번지 9호","광주광역시 북구 금재로9번길 7 (유동)","","왕안마시술소","20081119163352","I","2018-08-31 23:59:59.0","안마시술소","191249.918991","184368.015277","안마시술소","2","","","","","24","","795.6",
"39","의료유사업","01_01_10_P","3620000","PHMB420093620020042400001","20090421","","03","폐업","03","폐업","20110819","","","","266-5421","","500131","광주광역시 북구 오치1동 862-20 4층","","","금비안마원","20110819133218","I","2018-08-31 23:59:59.0","안마원","","","안마원","1","","","","","","","63.89",
"40","의료유사업","01_01_10_P","3620000","PHMB420093620020042400002","20090506","","03","폐업","03","폐업","20130520","","","","062-525-7582","","500060","광주광역시 북구 신안동 495-11번지 3층","광주광역시 북구 자산로 89-1, 3층 (신안동)","500828","신안안마원","20130520151215","I","2018-08-31 23:59:59.0","안마원","190942.710973","185331.785004","안마원","1","","","","","1","","52",
"41","의료유사업","01_01_10_P","3620000","PHMB420013620020042400002","20010827","","03","폐업","03","폐업","20020209","","","","","","500830","광주광역시 북구 신안동 240번지 28호 4층","광주광역시 북구 서암대로 190 (신안동,4층)","","다모아안마시술소","20100309104112","I","2018-08-31 23:59:59.0","안마시술소","191252.318626","185459.5082","안마시술소","2","","","","","10","","800",
"42","의료유사업","01_01_10_P","3620000","PHMB420023620020042400004","20020221","","03","폐업","03","폐업","20020412","","","","062-528-1615","","500830","광주광역시 북구 신안동 240번지 28호 4층","광주광역시 북구 서암대로 190 (신안동,4층)","","다모아안마시술소","20100309104406","I","2018-08-31 23:59:59.0","안마시술소","191252.318626","185459.5082","안마시술소","2","","","","","10","","800",
"43","의료유사업","01_01_10_P","3620000","PHMB420093620020042400003","20090611","","03","폐업","03","폐업","20100310","","","","514-4838","","500070","광주광역시 북구 용봉동 1365-5번지 2층,3층,4층","","","용봉안마시술소","20100310143251","I","2018-08-31 23:59:59.0","안마시술소","","","안마시술소","4","","","","","22","187.22","804.75",
"44","의료유사업","01_01_10_P","3620000","PHMB419943620020042400001","19941102","","03","폐업","03","폐업","20040302","","","","062-522-9800","","500829","광주광역시 북구 신안동 144번지 3호","광주광역시 북구 경양로103번길 24 (신안동)","","해태안마시술소","20100309094154","I","2018-08-31 23:59:59.0","안마시술소","191205.672244","184881.240762","안마시술소","2","","","","","10","","800",
"45","의료유사업","01_01_10_P","3620000","PHMB419953620020042400001","19950714","","03","폐업","03","폐업","20000421","","","","062-521-1745-6","","500850","광주광역시 북구 우산동 555번지 36호","광주광역시 북구 서암대로315번길 20-4 (우산동)","","서방안마시술소","20100309094526","I","2018-08-31 23:59:59.0","안마시술소","192498.998039","185196.850157","안마시술소","2","","","","","10","","800",
"46","의료유사업","01_01_10_P","3620000","PHMB419953620020042400002","19950814","","03","폐업","03","폐업","20021115","","","","062-511-6686","","500862","광주광역시 북구 유동 113번지 9호","광주광역시 북구 금재로9번길 7 (유동)","","유동안마시술소","20100309094916","I","2018-08-31 23:59:59.0","안마시술소","191249.918991","184368.015277","안마시술소","2","","","","","10","","800",
"47","의료유사업","01_01_10_P","3620000","PHMB419973620020042400001","19970127","","03","폐업","03","폐업","19980404","","","","","","500050","광주광역시 북구 북동 301번지 1호","광주광역시 북구 금남로 141 (북동)","","은혜안마시술소","20100309095144","I","2018-08-31 23:59:59.0","안마시술소","191715.34804","183888.461655","안마시술소","2","","","","","10","","800",
"48","의료유사업","01_01_10_P","3620000","PHMB419983620020042400001","19980126","","03","폐업","03","폐업","19981020","","","","062-261-8273","","500809","광주광역시 북구 두암1동 881번지 12호","광주광역시 북구 서방로107번길 39 (두암동)","","빛고을안마시술소","20100309095453","I","2018-08-31 23:59:59.0","안마시술소","193099.889116","185900.47715","안마시술소","2","","","","","10","","800",
"49","의료유사업","01_01_10_P","3620000","PHMB419983620020042400002","19981021","","03","폐업","03","폐업","20010611","","","","062-673-8881","","500809","광주광역시 북구 두암1동 881번지 12호","광주광역시 북구 서방로107번길 39 (두암동)","","빛고을안마시술소","20100309100022","I","2018-08-31 23:59:59.0","안마시술소","193099.889116","185900.47715","안마시술소","2","","","","","10","","800",
"50","의료유사업","01_01_10_P","5340000","PHMB420015340030042400001","20010528","","03","폐업","03","폐업","20100412","","","","834-8688","","664831","경상남도 사천시 동금동","","","롯데안마시술소","20100412154643","I","2018-08-31 23:59:59.0","안마시술소","","","안마시술소","2","","","","","12","","168.8",
"51","의료유사업","01_01_10_P","5340000","PHMB420035340030042400001","20030718","","03","폐업","03","폐업","20080310","","","","833-2333","","664240","경상남도 사천시 서금동","","","바다소리안마시술소","20091217102635","I","2018-08-31 23:59:59.0","안마시술소","","","안마시술소","4","","","","","8","","199.5",
"52","의료유사업","01_01_10_P","5340000","PHMB420075340030042400001","20070208","","03","폐업","03","폐업","20150910","","","","852-8338","","664806","경상남도 사천시 사천읍 수석리 281번지 17호","경상남도 사천시 사천읍 읍내1길 27-7","52518","궁전안마시술소","20150924150402","I","2018-08-31 23:59:59.0","안마시술소","299025.407611828","176320.213943929","안마시술소","2","","","","","16","","595.08",
"53","의료유사업","01_01_10_P","5340000","PHMB420105340030042400001","20100914","","03","폐업","03","폐업","20171206","","","","055-832-4080","","664831","경상남도 사천시 동금동 92번지 4호 ( 2층)","경상남도 사천시 중앙로 88 (동금동)","52560","에이스","20171206162251","I","2018-08-31 23:59:59.0","안마시술소","298345.995057324","159962.992141334","안마시술소","2","","","","","9","19.2","299.86",
"54","의료유사업","01_01_10_P","5340000","PHMB420145340030042400001","20140326","","03","폐업","03","폐업","20170621","","","","832-8649","","","","경상남도 사천시 새동네1길 110 (동동)","52556","삼천포안마마사지지압원","20171207105842","I","2018-08-31 23:59:59.0","안마원","297721.876689872","160007.990904144","안마원","0","","","","","","","71.54",
"55","의료유사업","01_01_10_P","5340000","PHMB420085340030042400002","20080321","","03","폐업","03","폐업","20210902","","","","055-833-2303","","","","경상남도 사천시 목섬길 113 (서금동, 구찌가요방)","52568","상상안마","20210902174631","U","2021-09-04 02:40:00.0","안마시술소","298245.507497818","159061.247683524","안마시술소","2","0","0","0","0","5","0","394.66",
"56","의료유사업","01_01_10_P","4620000","PHMB420064620040042400001","20060315","","03","폐업","03","폐업","20161004","","","","","","357902","충청남도 태안군 태안읍 남문3리 637번지 9호","충청남도 태안군 태안읍 시장1길 8","32143","로얄안마시술소","20161004140906","I","2018-08-31 23:59:59.0","안마시술소","136919.214675","361486.357376","안마시술소","2","","","","","18","","543.46",
"57","의료유사업","01_01_10_P","4620000","PHMB420154620040042400001","20151113","","03","폐업","03","폐업","20190621","","","","675-7337","","","","충청남도 태안군 태안읍 중앙로 42, 2층","32142","태안건강안마원","20190621152110","U","2019-06-23 02:40:00.0","안마원","136872.336494","361748.400789","안마원","2","","","","","7","","118.11",
"58","의료유사업","01_01_10_P","4610000","PHMB420134610020042400001","20130401","","03","폐업","03","폐업","20180402","","","","","","340924","충청남도 예산군 덕산면 신평리 186번지 2호","충청남도 예산군 덕산면 신평1길 16","32406","힐링 안마시술소","20180402104948","I","2018-08-31 23:59:59.0","안마시술소","169822.971875","354746.956429","안마시술소","2","","","","","13","","347.8",
"59","의료유사업","01_01_10_P","5690000","PHMB420185690045042400001","20180430","","03","폐업","03","폐업","","","","","044-865-6785","","","세종특별자치시 아름동 1296번지 해피라움1 408호","세종특별자치시 보듬3로 100, 해피라움1 4층 408호 (아름동)","30100","천수지압원","20220115114245","U","2022-01-18 02:40:00.0","안마원","222185.187124592","334575.864766408","안마원","0","0","0","0","0","2","0","78.57",
"60","의료유사업","01_01_10_P","5690000","PHMB420034560018042400001","20030825","","03","폐업","03","폐업","20200514","20141202","20150228","","044-868-4789","","339801","세종특별자치시 조치원읍 교리 22번지 2호 정행빌딩 4층","세종특별자치시 조치원읍 조치원7길 27 (정행빌딩 4층)","","드림안마시술소","20201015100944","U","2020-10-17 02:40:00.0","안마시술소","226785.052328539","344667.923421065","안마시술소","2","","","","","13","5.6","337.48",
"61","의료유사업","01_01_10_P","5690000","PHMB420054560018042400001","20050803","","03","폐업","03","폐업","20130701","","","","868-3877","","339882","세종특별자치시 조치원읍 정리  풍산@상가 101-101","","","서울안마원","20130701165842","I","2018-08-31 23:59:59.0","안마원","","","안마원","1","","","","","1","","36",
"62","의료유사업","01_01_10_P","5690000","PHMB420074560018042400001","20071105","","03","폐업","03","폐업","20090616","20090501","20091030","","864-8911","","339883","세종특별자치시 조치원읍 원리 2번지 3호","세종특별자치시 조치원읍 새내12길 40","","에이스안마시술소","20100819102515","I","2018-08-31 23:59:59.0","안마시술소","226773.48571341","344616.250568695","안마시술소","2","","","","","14","","359.56",
"63","의료유사업","01_01_10_P","5690000","PHMB420104560018042400001","20100507","","03","폐업","03","폐업","20120508","","","","868-1033","","339883","세종특별자치시 조치원읍 원리 2번지 3호 2층","세종특별자치시 조치원읍 새내12길 40 (2층)","","에이스안마시술소","20120508094726","I","2018-08-31 23:59:59.0","안마시술소","226773.48571341","344616.250568695","안마시술소","2","","","","","13","","359.56",
"64","의료유사업","01_01_10_P","4400000","PHMB420164400020042400001","20161118","","03","폐업","03","폐업","20180702","","","","043-645-0307","","","","충청북도 제천시 의병대로 60-1 (서부동)","27171","옥임안마센터","20180702174815","I","2018-08-31 23:59:59.0","안마원","307211.764157","404577.739688","안마원","1","","","","","5","","47.93",
"65","의료유사업","01_01_10_P","4470000","PHMB420054470017042400001","20050110","","03","폐업","03","폐업","20130716","","","","883-3511","","369851","충청북도 음성군 감곡면 왕장리 447번지 8호","충청북도 음성군 감곡면 장감로 118-1","369851","스카이안마시술소","20130716162330","I","2018-08-31 23:59:59.0","안마시술소","256429.099105","402015.614278","안마시술소","2","","","","","16","","472",
"66","의료유사업","01_01_10_P","4470000","PHMB420094470017042400001","20090323","","03","폐업","03","폐업","20180402","","","","043-877-8533","","369904","충청북도 음성군 금왕읍 무극리 630번지 1호","충청북도 음성군 금왕읍 탑골길 2","","백송","20180402144432","I","2018-08-31 23:59:59.0","안마시술소","252005.376203","387835.29722","안마시술소","2","","","","","9","","396",
"67","의료유사업","01_01_10_P","4400000","PHMB420094400020042400001","20090930","","03","폐업","03","폐업","20140830","","","","043-652-0310","","390060","충청북도 제천시 서부동 230번지 (1층)","충청북도 제천시 의병대로7길 2 (서부동)","390060","삼보","20140924134315","I","2018-08-31 23:59:59.0","안마원","307005.781379","404699.038434","안마원","1","","","","","","","69.23",
"68","의료유사업","01_01_10_P","4400000","PHMB420024400020042400001","20020624","","03","폐업","03","폐업","20170824","","","","043-652-7676","","390150","충청북도 제천시 화산동 196번지 4호 (4층)","충청북도 제천시 용두천로 66 (화산동)","27183","조이안마시술소","20170904172415","I","2018-08-31 23:59:59.0","안마시술소","307384.105702","404309.985272","안마시술소","2","","","","","13","","260.82",
"69","의료유사업","01_01_10_P","4400000","PHMB420084400020042400001","20080809","","03","폐업","03","폐업","20200330","20200319","20200719","","043-643-5979","","390120","충청북도 제천시 영천동 354번지 (2층, 3층)","충청북도 제천시 내제로 11 (영천동)","27185","일심안마시술소","20200330135853","U","2020-04-01 02:40:00.0","안마시술소","307064.529177","403903.657403","안마시술소","3","","","","","12","","491.8",
"70","의료유사업","01_01_10_P","4400000","PHMB420074400020042400001","20070213","","03","폐업","03","폐업","20210125","","","","043-645-8824","","390012","충청북도 제천시 중앙로2가 73번지 6호","충청북도 제천시 의림대로22길 6 (중앙로2가)","27168","청풍안마시술소","20210209143618","U","2021-02-11 02:40:00.0","안마시술소","307738.065161","405189.269763","안마시술소","4","","","","","12","","316.2",
"71","의료유사업","01_01_10_P","3160000","PHMB420103160034042400002","20101005","","03","폐업","03","폐업","20110831","","","","02-3439-7730","","152748","서울특별시 구로구 신도림동 신도림1차푸르지오아파트 상가 240","","","액티브안마원","20110831134116","I","2018-08-31 23:59:59.0","안마원","","","안마원","1","","","","","1","","38.36",
"72","의료유사업","01_01_10_P","3160000","PHMB420103160034042400003","20101021","","03","폐업","03","폐업","20110215","","","","857-7975","","152858","서울특별시 구로구 구로2동 497번지 5호 4층","서울특별시 구로구 구로동로 240 (구로동,4층)","","도인기혈지압안마원","20110215163805","I","2018-08-31 23:59:59.0","안마원","189556.142460589","444208.154113814","안마원","1","","","","","","","85",
