name,addr,phone,x,y,NAVER_addr
벤츠안마시술소,"경기도 시흥시 중심상가1길 3-6, 옥산프라자 4층~5층 (정왕동)",031-434-2787,126.7348446,37.3442966,경기도 시흥시 중심상가1길 3-6 옥산프라자
최선생안마원,"경상남도 진주시 진주역로 114, 시티2차 2층 205호 (가좌동, 시티프라디움)",,128.1155880,35.1515096,경상남도 진주시 진주역로 114 시티프라디움
스타안마시술소,"경기도 수원시 팔달구 인계로108번길 39-12 (인계동,6,7층)",,127.0294020,37.2656592,경기도 수원시 팔달구 인계로108번길 39-12 수림빌딩
가정바른손안마원,"인천광역시 서구 봉오재3로110번길 7, 가정봄프라자 301호 (가정동)",032-568-2230,126.6720395,37.5267362,인천광역시 서구 봉오재3로110번길 7 가정봄프라자
애플안마시술소,"경기도 안양시 동안구 흥안대로 499 (관양동, 3층,4층,5층)",031-426-9031,126.9764282,37.3985846,경기도 안양시 동안구 흥안대로 499
백제,전라북도 전주시 덕진구 산정1길 4 (산정동),063-242-6808,127.1691933,35.8367330,전라북도 전주시 덕진구 산정1길 4
강남안마시술소,충청북도 충주시 애향로 63 (봉방동),043-855-1426,127.9167538,36.9728389,충청북도 충주시 애향로 63
KING 안마시술소,"충청북도 제천시 용두천로 10, 1~3층 (영천동)",,128.2045066,37.1314606,충청북도 제천시 용두천로 10
손오공수기안마원,"광주광역시 서구 구성로19번길 7-4, 106호 (양동)",,126.9005271,35.1531156,광주광역시 서구 구성로19번길 7-4
젠틀맨안마시술소,"서울특별시 성동구 천호대로 282, 남주빌딩 4, 5층 (용답동)",02-2243-3787,127.0521623,37.5668056,서울특별시 성동구 천호대로 282 남주빌딩
일심안마시술소,충청북도 청주시 상당구 중흥로 40 (용암동),,127.5023286,36.6095428,충청북도 청주시 상당구 중흥로 40
효지압안마원,"경기도 구리시 검배로 89, 201호 (수택동)",031-555-5991,127.1481315,37.5951505,경기도 구리시 검배로 89
가구거리 햇님안마원,"부산광역시 동구 중앙대로460번길 32, 1층 (좌천동)",0516326544,129.0562845,35.1351222,부산광역시 동구 중앙대로460번길 32
용지압 힐링센터 안마원,"경기도 용인시 수지구 성복2로 17, 골드프라자 3층 122호 (성복동)",031-264-7575,127.0810234,37.3107116,경기도 용인시 수지구 성복2로 17 골드프라자1
성심건강안마원,서울특별시 도봉구 노해로 341 (창동),,127.0459347,37.6514553,서울특별시 도봉구 노해로 341 신원리베르텔
강남안마시술소,"부산광역시 연제구 과정로 137, 삼호라이프레포츠텔 지하2층 (연산동)",,129.1067663,35.1835898,부산광역시 연제구 과정로 137 삼호라이프레포츠텔
진주,경기도 수원시 장안구 파장로 77 (정자동),031-246-4165,126.9919367,37.3061566,경기도 수원시 장안구 파장로 77 피쉬엔그릴
스타안마시술소,"경기도 고양시 덕양구 호국로777번길 35 (주교동,2층)",031-966-9750,126.8329596,37.6561488,경기도 고양시 덕양구 호국로777번길 35 서봉빌딩
뉴안마시술소,"경기도 용인시 처인구 금령로 116, 8층 (김량장동)",031-339-3319,127.2092350,37.2351994,경기도 용인시 처인구 금령로 116 용인타워
송정안마시술소,경상북도 구미시 구미중앙로42길 9-1 (송정동),054-453-4247,128.3522139,36.1201835,경상북도 구미시 구미중앙로42길 9-1
보라매지압원,"서울특별시 동작구 대방동1길 15-1, 하이빌 1층 (대방동)",,126.9259212,37.5002109,서울특별시 동작구 대방동1길 15-1 하이빌
바른지압힐링센터,"경기도 고양시 덕양구 삼송로 210, 현대썬앤빌 202호 (삼송동)",02-381-5560,126.8973645,37.6532449,경기도 고양시 덕양구 삼송로 210 현대썬앤빌
베스트안마시술소,"경기도 화성시 효행로 1072, 9층 (병점동, 상록프라자)",031-232-6889,127.0442957,37.2149646,경기도 화성시 효행로 1072 상록프라자
덕구안마시술소,경기도 의정부시 신흥로239번길 9 (의정부동),031-829-7767,127.0426649,37.7374624,경기도 의정부시 신흥로239번길 9
동보안마원,"부산광역시 부산진구 중앙대로 940 (양정동,인제빌딩 4층)",051-851-2998,129.0720991,35.1735997,부산광역시 부산진구 중앙대로 940
조은지압안마원,경기도 부천시 삼작로352번길 2 (여월동),032-654-6825,126.8007023,37.5197700,경기도 부천시 삼작로352번길 2
라파엘안마원,"서울특별시 중랑구 면목로33길 27-7, 101호 (면목동)",02-416-3806,127.0844175,37.5763820,서울특별시 중랑구 면목로33길 27-7
하와이안마시술소,"인천광역시 남동구 성말로 9 (구월동, 이노프라자 403호)",422-1380,126.7017293,37.4458097,인천광역시 남동구 성말로 9 이노 프라자
공주건강안마센터,충청남도 공주시 봉황로 150 (교동),041-852-9878,127.1215881,36.4595332,충청남도 공주시 봉황로 150
건강백세안마원,"충청남도 서산시 시장6로 38 (동문동, 서성빌딩4층)",664-9987,126.4580865,36.7829248,충청남도 서산시 시장6로 38
삼손안마원,충청남도 공주시 신관로 69-11 (신관동),041-881-3642,127.1362902,36.4690824,충청남도 공주시 신관로 69-11
에레스안마시술소,"경기도 안양시 동안구 흥안대로 521 (관양동, 5층)",031-422-6564,126.9761438,37.4005423,경기도 안양시 동안구 흥안대로 521
서울안마시술소,서울특별시 관악구 시흥대로 576 (신림동),838-9935,126.9030914,37.4840768,서울특별시 관악구 시흥대로 576
용안마시술소,서울특별시 관악구 남현1길 58 (남현동),587-1351,126.9805103,37.4756296,서울특별시 관악구 남현1길 58 덕인빌딩
용안마시술소,경기도 안산시 단원구 광덕2로 163-5 (고잔동),031-484-3398,126.8284155,37.3103848,경기도 안산시 단원구 광덕2로 163-5 황금프라자
부평안마시술소,"인천광역시 부평구 대정로 66, 다운타운일레븐 303호 (부평동)",,126.7266952,37.4935756,인천광역시 부평구 대정로 66 다운타운일레븐
이든7575지압원,"부산광역시 해운대구 해운대해변로 291, 크리스탈비치오피스텔 304호 (중동)",051-703-7958,129.1624781,35.1607299,부산광역시 해운대구 해운대해변로 291 크리스탈비치오피스텔
수안마시술소,"충청북도 청주시 청원구 오창읍 중심상업로 39, 2층 205,206,207,208호 (오창온천)",043-211-5759,127.4290386,36.7142689,충청북도 청주시 청원구 오창읍 중심상업로 39 오창온천
A 안마시술소,"울산광역시 동구 방어진순환도로 602-1, 4,5층 (화정동)",,129.4277243,35.4953082,울산광역시 동구 방어진순환도로 602-1
설봉안마시술소,경기도 이천시 중리천로 129-6 (중리동),635-0762,127.4494220,37.2755577,경기도 이천시 중리천로 129-6 경기동부자폐아전문치료센터
으뜸안마원,"인천광역시 미추홀구 주안로213번길 15, 간석역프라자 2층 202호 (주안동)",032-437-3375,126.6935767,37.4642205,인천광역시 미추홀구 주안로213번길 15 간석역프라자
송암안마시술소,경기도 평택시 관광특구로 23 (서정동),031-667-4147,127.0614965,37.0671549,경기도 평택시 관광특구로 23
중앙안마시술소,강원도 춘천시 시청길 16-1 (조양동),033)244-1235,127.7296731,37.8802699,강원도 춘천시 시청길 16-1
제일약손지압안마원,"경상남도 사천시 사천읍 정의길 41, 1층",055-855-9675,128.0886502,35.0848362,경상남도 사천시 사천읍 정의길 41 성민쌀상회
동하안마시술소,"강원도 동해시 한섬로 107, 3층 (천곡동, 경성빌딩)",033-533-9494,129.1155643,37.5213258,강원도 동해시 한섬로 107 경성빌딩
웰빙안마시술소,"서울특별시 송파구 송파대로28길 32, 올림피아오피스텔 B1층 (가락동)",02-443-0231,127.1213235,37.4947436,서울특별시 송파구 송파대로28길 32 올림피아오피스텔
건강연수안마원,"인천광역시 연수구 학나래로6번길 35, 5층 (선학동)",032-818-8575,126.6975803,37.4247284,인천광역시 연수구 학나래로6번길 35
활기지압안마원,"경기도 수원시 영통구 효원로 393, 밀래니엄프라자 307호 (매탄동)",0312124588,127.0446907,37.2591146,경기도 수원시 영통구 효원로 393 밀래니엄프라자
일등보건안마원,충청남도 당진시 당진중앙3로 72 (읍내동),041-357-3962,126.6298265,36.8922340,충청남도 당진시 당진중앙3로 72 센터빌딩
양지안마시술소,"경기도 의왕시 계원대학로 25, 6층 (내손동, 팬템프라자)",031-426-8611,126.9744031,37.3799338,경기도 의왕시 계원대학로 25 팬텀프라자
스페셜안마시술소,"서울특별시 강남구 역삼로2길 15, 5층일부, 6~8층 (역삼동)",561-5952,127.0317221,37.4923654,서울특별시 강남구 역삼로2길 15 금성빌딩
한국국가대표안마원(본점),"인천광역시 연수구 비류대로 208, 4층 (옥련동)",032-834-8575,126.6576991,37.4274233,인천광역시 연수구 비류대로 208
내몸에약손안마원,"대구광역시 수성구 고산로 101, 상가동 2층 23-8호 (신매동)",053-793-1322,128.7040303,35.8400641,대구광역시 수성구 고산로 101
캐슬안마시술소,"경기도 화성시 떡전골로 82, 5-6층 (병점동, 동아골드프라자)",031-231-2102,127.0343716,37.2058110,경기도 화성시 떡전골로 82
쿠라시온안마원,"경기도 성남시 분당구 황새울로258번길 32, 코리아나빌딩 307호 (수내동)",031-714-8897,127.1160923,37.3794307,경기도 성남시 분당구 황새울로258번길 32 코리아나빌딩
원안마시술소,"경기도 고양시 일산동구 정발산로 38, 장항동이스턴시티 506,506-1,507,507-1,508호 (장항동)",031-908-2861,126.7731559,37.6567215,경기도 고양시 일산동구 정발산로 38 장항동이스턴시티
국가대표케이에이(KA)안마원,"인천광역시 연수구 용담로125번길 41, 메카리움오피스텔 3층 (연수동)",032-821-8575,126.6798172,37.4157897,인천광역시 연수구 용담로125번길 41 메카리움오피스텔
상주척추안마원,경상북도 상주시 동수로 69(서문동),054-564-0298,128.1556249,36.4188707,경상북도 상주시 동수로 69
예손지압안마원,"경기도 시흥시 은계호수로 49, 시흥 센트럴돔 그랑트리 캐슬 3층 3033호~3034호 (은행동)",031-315-8677,126.8020504,37.4458742,경기도 시흥시 은계호수로 49 시흥 센트럴돔 그랑트리 캐슬
서현지압안마센터,"경기도 부천시 소사로 775, 2층일부 (원종동)",032-673-7274,126.8045589,37.5254378,경기도 부천시 소사로 775
가나안마시술소,"서울특별시 도봉구 도봉로 575, 602호 (쌍문동, 삼환프라자)",,127.0388060,37.6564112,서울특별시 도봉구 도봉로 575 삼환프라자
장성안마원,"경상북도 포항시 북구 새천년대로1076번길 27-6, 3층 (두호동)",,129.3745575,36.0647368,경상북도 포항시 북구 새천년대로1076번길 27-6
추나안마원,"경기도 고양시 덕양구 내유길 38-22, 지1층 비100호 (내유동)",,126.8534442,37.7175938,경기도 고양시 덕양구 내유길 38-22
동해건강안마센타안마원,"강원도 동해시 한섬로 55, 현대열쇠 1층 (천곡동)",,129.1098401,37.5202445,강원도 동해시 한섬로 55 현대열쇠
휴나래안마원,"경기도 화성시 효행로 1056, 206호 (병점동)",031-235-9981,127.0428663,37.2142144,경기도 화성시 효행로 1056
여우안마시술소,경상북도 칠곡군 석적읍 북중리2길 42,054-974-7763,128.4104335,36.0788431,경상북도 칠곡군 석적읍 북중리2길 42
안녕지압안마원,"경기도 화성시 화산로 58, 1층 101호 (송산동)",031-234-7275,127.0145467,37.2092751,경기도 화성시 화산로 58
초코렛안마시술소,"경기도 화성시 효행로 1068, 9층 (병점동, 리더스프라자)",031-898-9901,127.0438480,37.2147322,경기도 화성시 효행로 1068 리더스프라자
상쾌한안마원,"인천광역시 부평구 주부토로 33, 4층 (부평동)",032-503-0177,126.7248773,37.4981237,인천광역시 부평구 주부토로 33
인천중앙안마원,"인천광역시 남동구 구월로 235, 지하1층 일부호 (구월동)",,126.7167158,37.4563923,인천광역시 남동구 구월로 235
임성택안마원,"대구광역시 달서구 성서로 374, 3층 (이곡동)",0535851171,128.5077037,35.8509522,대구광역시 달서구 성서로 374
진안마원,부산광역시 동구 중앙대로349번길 38 (수정동),464-7535,129.0451936,35.1264221,부산광역시 동구 중앙대로349번길 38
온지압안마원,부산광역시 동구 조방로 38 (범일동),867-9417,129.0614206,35.1400343,부산광역시 동구 조방로 38
가자장수힐링지압안마원,"부산광역시 동구 조방로 39-11, 5층 (범일동)",051-635-7575,129.0610574,35.1393896,부산광역시 동구 조방로 39-11
증평안마센터,충청북도 증평군 증평읍 중앙로4길 13,043-836-4275,127.5803265,36.7816747,충청북도 증평군 증평읍 중앙로4길 13
원당 안마원,"경기도 군포시 군포역1길 36, 103호 (당동)",031-427-1788,126.9476994,37.3529494,경기도 군포시 군포역1길 36
스타안마시술소,"서울특별시 강북구 월계로3길 5, 2-4층 (미아동)",02-981-9988,127.0311776,37.6101188,서울특별시 강북구 월계로3길 5
비젼안마원,"제주특별자치도 제주시 신대로16길 41, 2층 (연동)",,126.4921149,33.4867628,제주특별자치도 제주시 신대로16길 41
산삼안마원,"대전광역시 중구 보문로103번길 85, 2층 (부사동)",042-252-3375,127.4336341,36.3128081,대전광역시 중구 보문로103번길 85
에스안마시술소,"경기도 화성시 향남읍 평3길 15, 3층 (에쓰뻬랑스)",031-8047-0171,126.9085142,37.1312822,경기도 화성시 향남읍 평3길 15 에쓰뻬랑스
동화안마원,"경기도 화성시 봉담읍 동화길 93-6, 지존타워 4층 402호",031-278-5741,126.9593743,37.2164317,경기도 화성시 봉담읍 동화길 93-6
백암안마시술소,충청북도 충주시 성터7길 21 (문화동),043-854-5759,127.9188044,36.9707823,충청북도 충주시 성터7길 21
향남안마원,"경기도 화성시 향남읍 행정서로1길 13-5, 1층",031-351-6263,126.9140494,37.1257692,경기도 화성시 향남읍 행정서로1길 13-5
여우안마시술소,"경기도 화성시 효행로 1056 (병점동, 탑프라자5층)",,127.0428663,37.2142144,경기도 화성시 효행로 1056
동암안마원,"인천광역시 부평구 열우물로87번길 33, 1층 2호 (십정동)",,126.6961445,37.4739630,인천광역시 부평구 열우물로87번길 33
삼성안마시술소,"경기도 수원시 팔달구 인계로108번길 49 (인계동,(5층))",031-224-7687,127.0288868,37.2655756,경기도 수원시 팔달구 인계로108번길 49 조은프라자
영주안마원,"경상북도 영주시 중앙로 74, 3층 (영주동)",,128.6242620,36.8218836,경상북도 영주시 중앙로 74
전통안마원,경상북도 영주시 지천로184번길 22 (가흥동),,128.6203011,36.8154108,경상북도 영주시 지천로184번길 22
모담지압안마원,"경기도 수원시 팔달구 인계로94번길 8, 4층 (인계동)",,127.0275277,37.2678503,경기도 수원시 팔달구 인계로94번길 8
수안마시술소,"대전광역시 유성구 온천로 22, 5층 (봉명동)",,127.3403430,36.3553225,대전광역시 유성구 온천로 22
약손안마원,"경기도 가평군 조종면 조종새싹로 20-5, 현대정육점",,127.3494705,37.8204593,경기도 가평군 조종면 조종새싹로 20-5 현대정육점
참손길안마원,"서울특별시 동작구 동작대로 83, 헤라피스빌딩 4층 (사당동)",070-5055-1887,126.9816296,37.4840375,서울특별시 동작구 동작대로 83 헤라피스빌딩
온천안마시술소,충청남도 예산군 덕산면 덕산온천로 324-7,041-338-1682,126.6634666,36.6951186,충청남도 예산군 덕산면 덕산온천로 324-7
팝콘안마시술소,"서울특별시 노원구 노해로83길 10-11, 3층, 4층 (상계동)",02-932-0880,127.0649466,37.6560187,서울특별시 노원구 노해로83길 10-11 영창빌딩
오산시술원,강원도 홍천군 화촌면 굴운로75번길 20-3,033-435-5286,127.9500930,37.7361382,강원도 홍천군 화촌면 굴운로75번길 20-3
건강안마시술소,강원도 홍천군 홍천읍 홍천로 336-9,033-434-7012,127.8825665,37.6880026,강원도 홍천군 홍천읍 홍천로 336-9
두촌시술원,강원도 홍천군 두촌면 자은장터길 4-7,033-435-2919,128.0195056,37.8676535,강원도 홍천군 두촌면 자은장터길 4-7
고침안마원,강원도 홍천군 홍천읍 오룡로 63-8,033-436-5009,127.9188758,37.6975478,강원도 홍천군 홍천읍 오룡로 63-8
송화지압안마원,강원도 홍천군 홍천읍 연봉중앙로 90-1,033-433-8575,127.8819011,37.6842207,강원도 홍천군 홍천읍 연봉중앙로 90-1
몸사랑지압안마원,"서울특별시 마포구 서강로 55, 서강쌍용예가 근린생활시설(2단지)211,212호 (창전동)",332-2809,126.9313759,37.5483009,서울특별시 마포구 서강로 55 서강쌍용예가
애플안마시술소,"경기도 성남시 분당구 성남대로916번길 7, 8층 801~807호 (야탑동, 서일빌딩)",781-8844,127.1298581,37.4111576,경기도 성남시 분당구 성남대로916번길 7 서일빌딩
힐링숲안마원,"서울특별시 성동구 독서당로59다길 12, B01호 (응봉동)",02-2298-8259,127.0312129,37.5529121,서울특별시 성동구 독서당로59다길 12
손안마원,"경기도 광주시 파발로 103, 2층 (송정동)",031-797-7655,127.2592113,37.4135128,경기도 광주시 파발로 103
두드림지압안마원,"인천광역시 남동구 장승로 9, 신비프라자 4층 일부호 (만수동)",032-464-7778,126.7342290,37.4466317,인천광역시 남동구 장승로 9 신비프라자
나음안마원,경기도 평택시 평택3로 28 (합정동),031-692-4252,127.0935654,36.9915193,경기도 평택시 평택3로 28
예침지압안마원,"경기도 군포시 고산로250번길 32, 3동 상가401호 (당동, 덕산아파트)",399-0027,126.9452243,37.3489038,경기도 군포시 고산로250번길 32 덕산아파트
딸기안마시술소,"인천광역시 남동구 인하로 497-23 (구월동, 지상5층)",032-421-1307,126.7017150,37.4445418,인천광역시 남동구 인하로 497-23 반도프라자
참손길지압안마원,"경기도 안양시 동안구 관악대로 480, 601호 (관양동, 우정타운)",1522-8622,126.9753927,37.4024710,경기도 안양시 동안구 관악대로 480 우정타운
바른체형교정안마원,"인천광역시 미추홀구 경원대로 869, 르네상스빌딩 (주안동)",,126.6891695,37.4604009,인천광역시 미추홀구 경원대로 869 르네상스빌딩
몸편한보건안마원,충청북도 충주시 봉현로 295 (교현동),910-8275,127.9366468,36.9776627,충청북도 충주시 봉현로 295
권재혁전통안마원,"강원도 원주시 평원로 44, 1층 (평원동)",033-743-7553,127.9520903,37.3500497,강원도 원주시 평원로 44
큐안마시술소,"경기도 포천시 소흘읍 솔모루로 84, 2,3층",031-543-6969,127.1474350,37.8286067,경기도 포천시 소흘읍 솔모루로 84
킹안마시술소,"경기도 용인시 처인구 금령로71번길 6-4 (김량장동,용인빌딩 4층)",,127.2046593,37.2355158,경기도 용인시 처인구 금령로71번길 6-4
건강안마원,"경기도 수원시 팔달구 팔달문로 135, 1층 (우만동)",031-213-7722,127.0307785,37.2825587,경기도 수원시 팔달구 팔달문로 135
석민안마시술소,"경기도 남양주시 금곡로 43, 6층 (금곡동)",031-591-2104,127.2080588,37.6342362,경기도 남양주시 금곡로 43 대로빌딩
운정국가공인안마센터,"경기도 파주시 책향기로 573, 월드타워3차 3층 305호 (목동동)",031-949-3143,126.7343815,37.7277937,경기도 파주시 책향기로 573
청춘안마원,제주특별자치도 제주시 중앙로 181 (이도일동),064-758-3865,126.5276560,33.5030826,제주특별자치도 제주시 중앙로 181
쌍마안마시술소,"서울특별시 동대문구 전농로 12, 3층 (답십리동)",2242-6011,127.0560271,37.5660427,서울특별시 동대문구 전농로 12
원당가족안마원,"경기도 고양시 덕양구 마상로134번길 99, 2층 1호 (주교동)",966-8575,126.8339929,37.6561776,경기도 고양시 덕양구 마상로134번길 99
더편한안마원,"서울특별시 강남구 역삼로 315, 개나리5차상가 202호 (역삼동)",566-1775,127.0503146,37.5005552,서울특별시 강남구 역삼로 315 개나리아파트
우리안마원,"대전광역시 중구 중촌로40번길 24, 1층 (중촌동)",042-585-1230,127.4129225,36.3396418,대전광역시 중구 중촌로40번길 24
참편한안마원,강원도 춘천시 충혼길44번길 14(온의동),255-7175,127.7199711,37.8614719,강원도 춘천시 충혼길44번길 14
산안마시술소,"강원도 원주시 장미공원길 25-5, 4층 (단계동)",033-744-3242,127.9327225,37.3466152,강원도 원주시 장미공원길 25-5
더블유(W)안마시술소,"경기도 시흥시 평안상가4길 22, 4,5층 (정왕동)",031-434-2355,126.7495874,37.3375173,경기도 시흥시 평안상가4길 22 해동빌딩
로또안마시술소,경기도 이천시 중리천로97번길 53 (창전동),634-8323,127.4476164,37.2804274,경기도 이천시 중리천로97번길 53
안성지압안마원,"경기도 안성시 장기로 118, 102호 (낙원동)",031-8057-2103,127.2758210,37.0037575,경기도 안성시 장기로 118
맑은손지압안마원,"경기도 구리시 건원대로 36, 화성골드프라자 3층 307호 (인창동)",031-553-5006,127.1405155,37.6044341,경기도 구리시 건원대로 36 화성골드프라자
코코안마시술소,서울특별시 중랑구 망우로60길 31 (망우동),02-435-2212,127.0945656,37.5971828,서울특별시 중랑구 망우로60길 31 무학장온천여관
전통안마지압센타,"경상남도 창원시 마산회원구 삼호로 36, 신세계백화점앞동 2층 (양덕동)",055-253-5569,128.5867897,35.2214140,경상남도 창원시 마산회원구 삼호로 36
다오안마시술소,"서울특별시 강남구 학동로 235, 6층,7층일부,8층 (논현동)",515-7771,127.0350255,37.5156050,서울특별시 강남구 학동로 235 로이빌딩
호산나안마원,"대전광역시 동구 옥천로 202-7, 2층 (판암동)",,127.4626044,36.3179358,대전광역시 동구 옥천로 202-7
바른몸약손안마원,"경상남도 밀양시 내이2길 8, 1층 (내이동)",,128.7440034,35.4971310,경상남도 밀양시 내이2길 8
장수건강안마원,"경기도 성남시 분당구 돌마로 79, 601,602호 (금곡동, 썬프라자)",031-718-7722,127.1107975,37.3503982,경기도 성남시 분당구 돌마로 79 썬프라자
킹안마시술소,"대전광역시 유성구 온천로 34 (봉명동,5층)",042-825-8599,127.3412472,36.3552101,대전광역시 유성구 온천로 34 유성빌딩
만민안마시술소,"인천광역시 남동구 석촌로 41 (간석동, 5층)",423-7717,126.7087534,37.4643207,인천광역시 남동구 석촌로 41 태양빌딩
황제안마시술소,충청남도 보령시 목장2길 31 (대천동),,126.5993362,36.3490388,충청남도 보령시 목장2길 31
탑안마시술소,"경기도 고양시 일산동구 무궁화로 18, 남정 씨티프라자 1 701호 일부, 706~708호호 (장항동)",,126.7669288,37.6617138,경기도 고양시 일산동구 무궁화로 18 남정 씨티프라자 1
K1안마시술소,"광주광역시 서구 상무연하로 50, 지상8층 (치평동)",062-383-5577,126.8505017,35.1527209,광주광역시 서구 상무연하로 50 에코노블빌딩
참손길지압힐링센터수원역점,"경기도 수원시 팔달구 덕영대로 905, 1003호 (매산로1가, 아이메카 상가)",031-258-7555,127.0005489,37.2678790,경기도 수원시 팔달구 덕영대로 905 아이메카 상가
지지안마시술소,"서울특별시 강남구 봉은사로 310, 지하2층 (역삼동, 대일빌딩)",573-7789,127.0409847,37.5091679,서울특별시 강남구 봉은사로 310 숨빌딩
샘안마시술소,경상남도 김해시 번화1로 78 (대청동),055-313-5966,128.7999135,35.1942802,경상남도 김해시 번화1로 78 미건빌딩
상상안마시술소,전라북도 익산시 목천로1길 24-25 (인화동1가),063-856-7979,126.9483839,35.9307693,전라북도 익산시 목천로1길 24-25
시원손안마원,"충청남도 서산시 대산읍 구진로 15, 1층",,126.4353701,36.9367544,충청남도 서산시 대산읍 구진로 15
명성지압안마원,"경기도 용인시 수지구 현암로 107, 2층 202호 (죽전동, SR프라자)",031-897-6636,127.1212467,37.3319582,경기도 용인시 수지구 현암로 107 SR프라자
오송정통안마원,충청북도 청주시 흥덕구 오송읍 연제길 181-9,,127.3107993,36.6299908,충청북도 청주시 흥덕구 오송읍 연제길 181-9
킹안마시술소,경기도 파주시 중앙로 293-1 (금촌동),944-7075,126.7757354,37.7619546,경기도 파주시 중앙로 293-1 킹안마
포인트안마시술소,"충청남도 천안시 서북구 양지10길 60 (성정동,1,2,3,4층)",576-7942,127.1408335,36.8126066,충청남도 천안시 서북구 양지10길 60 골인안마
해바라기안마원,"충청남도 보령시 대흥로 76, 1층 (대천동)",041-931-7154,126.5910737,36.3512808,충청남도 보령시 대흥로 76
오-편한케어안마원,"경상북도 고령군 대가야읍 왕릉로 95, 2층",054-614-5789,128.2665338,35.7283554,경상북도 고령군 대가야읍 왕릉로 95
제일경락안마원,"전라북도 군산시 대학로 342, 동아26빌딩 8층 809호,810호,811호,812호 (나운동)",063-466-9980,126.6930559,35.9635217,전라북도 군산시 대학로 342 동아26빌딩
뉴펄안마시술소,"충청남도 아산시 배방읍 고속철대로 77, 4,5층 (MS프라자)",,127.1074582,36.7912271,충청남도 아산시 배방읍 고속철대로 77 MS프라자
조은건강안마원,대구광역시 수성구 동대구로 224(범어동),424-5577,128.6254846,35.8503707,대구광역시 수성구 동대구로 224
보그안마시술소,서울특별시 강남구 언주로148길 13 (논현동),02-545-8574,127.0356524,37.5207805,서울특별시 강남구 언주로148길 13
우진안마시술소,"경기도 고양시 일산동구 무궁화로 31-2 (장항동,풍성프라자601~606호)",,126.7678775,37.6631069,경기도 고양시 일산동구 무궁화로 31-2 풍성프라자
동경안마시술소,"대전광역시 유성구 온천로 36, 4, 5층 (봉명동)",042-826-7200,127.3415539,36.3551761,대전광역시 유성구 온천로 36
장수지압안마원,인천광역시 연수구 앵고개로 262 (동춘동),032-815-7770,126.6725683,37.4075008,인천광역시 연수구 앵고개로 262 동경프라자
의왕지압안마원,"경기도 의왕시 모락로 16 (오전동, 현대프라자)",031-429-8533,126.9670896,37.3594858,경기도 의왕시 모락로 16 현대프라자
청담안마시술소,"경기도 고양시 덕양구 호국로789번길 7 (주교동,301,302호)",031-962-9577,126.8357054,37.6568817,경기도 고양시 덕양구 호국로789번길 7
호두안마시술소,충청남도 천안시 서북구 봉정로 125-1 (성정동),041-579-5879,127.1412626,36.8133656,충청남도 천안시 서북구 봉정로 125-1 호두안마
