번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),의료유사업종별명,종업원수,자격증소유자수,보조종업원수,시설관리자수,기타종업원수,병상수,욕실면적,총면적
22,의료유사업,01_01_10_P,3220000,PHMB420073220033042400001,20070228,,2,휴업,2,휴업,,20211206,20221231,,02-569-3225,,,"서울특별시 강남구 삼성동 143번지 16호 5,6,7층","서울특별시 강남구 테헤란로77길 11-20, 5,6,7층 (삼성동)",6159,수안보안마시술소,2.02206E+13,U,40:00.0,안마시술소,204602.0691,444958.7319,안마시술소,7,0,0,0,0,17,16.98,761.4
23,의료유사업,01_01_10_P,4390000,PHMB420014390029042400001,20010804,,2,휴업,2,휴업,,20101228,20110327,,043-846-5536,,380943,충청북도 충주시 수안보면 온천리 193번지 7호,충청북도 충주시 수안보면 온천천변길 25,380943,수안보온천안마시술소,2.01201E+13,I,59:59.0,안마시술소,288088.1768,372029.5609,안마시술소,3,,,,,1,,214.12
24,의료유사업,01_01_10_P,5710000,PHMB420094360069042400005,20091218,,2,휴업,2,휴업,,20220629,20220831,,043-294-5233,,360101,충청북도 청주시 상당구 용암1동 1779번지 2층,"충청북도 청주시 상당구 무농정로 29  (용암동,2층)",,약손안마원,2.02206E+13,U,40:00.0,안마원,245223.1325,345129.1363,안마원,1,0,0,0,0,1,0,46.39
25,의료유사업,01_01_10_P,4010000,PHMB420084010027042400001,20080303,,2,휴업,2,휴업,,20210909,20220908,,031-434-5432,,429864,경기도 시흥시 정왕3동 1860번지 5호  3층,"경기도 시흥시 옥구상가3길 7-5, 3층 (정왕동)",15040,허브안마시술소,2.02109E+13,U,40:00.0,안마시술소,175481.8992,427899.9213,안마시술소,2,0,0,0,0,18,0,234.1
26,의료유사업,01_01_10_P,3190000,PHMB420123190033042400003,20120608,,2,휴업,2,휴업,,20210619,20211231,,070-8728-7579,,156034,서울특별시 동작구 상도4동 347번지 4호,서울특별시 동작구 상도로 118 (상도동),6959,튼튼안마원,2.02107E+13,U,40:00.0,안마원,194028.592,444326.7226,안마원,1,0,0,0,0,0,0,35.78
27,의료유사업,01_01_10_P,6510000,PHMB420186510096042400005,20181220,,2,휴업,2,휴업,,20210524,20220523,,,,,제주특별자치도 제주시 오라삼동 2997번지,"제주특별자치도 제주시 연오로 59, 지하1층 106호 (오라삼동)",63145,이룸지압원,2.02105E+13,U,40:00.0,안마원,153642.8475,-827.9657625,안마원,1,,,,,1,,32.62
28,의료유사업,01_01_10_P,5310000,PHMB420215310029042400001,20210104,,2,휴업,2,휴업,,20211221,20221231,,,,,경상남도 진주시 봉곡동 474-37 아르피오빌라,"경상남도 진주시 북장대로63번길 21, 아르피오빌라 201호 (봉곡동)",52664,비봉안마원,2.02112E+13,U,40:00.0,안마원,297471.1017,188946.1869,안마원,1,0,0,0,0,0,0,71
29,의료유사업,01_01_10_P,3620000,PHMB420043620020042400001,20040331,,3,폐업,3,폐업,20050901,,,,062-525-5238,,500881,광주광역시 북구 풍향동 603번지 16호,광주광역시 북구 필문대로 7-1 (풍향동),,동서울안마시술소,2.01003E+13,I,59:59.0,안마시술소,192697.4932,185069.2691,안마시술소,2,,,,,10,,800
30,의료유사업,01_01_10_P,3620000,PHMB420013620020042400001,20010614,,3,폐업,3,폐업,20021005,,,,062-261-8273,,500809,"광주광역시 북구 두암1동 881번지 12호 2,3층","광주광역시 북구 서방로107번길 39 (두암동,2,3층)",,빛고을안마시술소,2.01003E+13,I,59:59.0,안마시술소,193099.8891,185900.4772,안마시술소,2,,,,,10,,800
31,의료유사업,01_01_10_P,3620000,PHMB420023620020042400002,20021115,,3,폐업,3,폐업,20021226,,,,062-522-5215,,500030,광주광역시 북구 누문동 197번지,광주광역시 북구 천변우로271번길 9-5 (누문동),,양동안마시술소,2.01003E+13,I,59:59.0,안마시술소,191199.6075,183940.8441,안마시술소,2,,,,,10,,800
32,의료유사업,01_01_10_P,3620000,PHMB420023620020042400003,20021207,,3,폐업,3,폐업,20050930,,,,062-511-6686,,500862,광주광역시 북구 유동 113번지 9호,광주광역시 북구 금재로9번길 7 (유동),,왕안마시술소,2.01003E+13,I,59:59.0,안마시술소,191249.919,184368.0153,안마시술소,2,,,,,10,,800
33,의료유사업,01_01_10_P,3620000,PHMB419993620020042400001,19990419,,3,폐업,3,폐업,20010720,,,,062-528-1615,,500830,광주광역시 북구 신안동 240번지 28호 4층,"광주광역시 북구 서암대로 190 (신안동,4층)",,다모아안마시술소,2.01003E+13,I,59:59.0,안마시술소,191252.3186,185459.5082,안마시술소,2,,,,,10,,800
34,의료유사업,01_01_10_P,3620000,PHMB420093620020042400004,20090710,,3,폐업,3,폐업,20100628,,,,062-512-7411,,500854,"광주광역시 북구 운암2동 97번지 7호 2층,3층,4층,5층","광주광역시 북구 북문대로 11 (운암동,2층,3층,4층,5층)",,운암안마시술소,2.01006E+13,I,59:59.0,안마시술소,189320.6523,186036.387,안마시술소,5,,,,,23,,625.68
35,의료유사업,01_01_10_P,3620000,PHMB420103620020042400003,20100518,,3,폐업,3,폐업,20120430,,,,,,500867,광주광역시 북구 일곡동 846번지 2호 4층,"광주광역시 북구 설죽로 513 (일곡동,4층)",,우리안마원,2.01204E+13,I,59:59.0,안마원,190593.743,189517.6497,안마원,1,,,,,1,,10
36,의료유사업,01_01_10_P,3620000,PHMB420023620020042400001,20021115,,3,폐업,3,폐업,20091224,,,,266-6672,,500100,광주광역시 북구 두암동 567번지 6호,광주광역시 북구 동문대로 169 (두암동),,몽안마시술소,2.00912E+13,I,59:59.0,안마시술소,193390.597,186508.2447,안마시술소,2,,,,,20,,533.6
37,의료유사업,01_01_10_P,3620000,PHMB420033620020042400001,20030409,,3,폐업,3,폐업,20090608,20090409,20090608,,514-4838,,500070,광주광역시 북구 용봉동 1365번지 5호,광주광역시 북구 저불로 59 (용봉동),,용봉안마시술소,2.00906E+13,I,59:59.0,안마시술소,190372.9509,186746.1322,안마시술소,2,,,,,22,80,804.75
38,의료유사업,01_01_10_P,3620000,PHMB420083620020042400001,20080805,,3,폐업,3,폐업,20090709,20090429,20091029,,512-7412,,500170,광주광역시 북구 운암동 97번지 7호,광주광역시 북구 북문대로 11 (운암동),,운암안마시술소,2.00907E+13,I,59:59.0,안마시술소,189320.6523,186036.387,안마시술소,2,,,,,18,138,672.94
39,의료유사업,01_01_10_P,3620000,PHMB420063620020042400001,20060920,,3,폐업,3,폐업,20141031,,,,,,500811,광주광역시 북구 두암1동 891번지 8호,광주광역시 북구 군왕로71번길 77 (두암동),500811,7요경락지압원,2.0141E+13,I,59:59.0,안마원,193409.0417,185484.9797,안마원,1,,,,,2,,83.5
40,의료유사업,01_01_10_P,3620000,PHMB420073620020042400001,20071220,,3,폐업,3,폐업,20081117,,,,511-6686,,500020,광주광역시 북구 유동 113번지 9호,광주광역시 북구 금재로9번길 7 (유동),,왕안마시술소,2.00811E+13,I,59:59.0,안마시술소,191249.919,184368.0153,안마시술소,2,,,,,24,,795.6
41,의료유사업,01_01_10_P,3620000,PHMB420093620020042400001,20090421,,3,폐업,3,폐업,20110819,,,,266-5421,,500131,광주광역시 북구 오치1동 862-20 4층,,,금비안마원,2.01108E+13,I,59:59.0,안마원,,,안마원,1,,,,,,,63.89
42,의료유사업,01_01_10_P,3620000,PHMB420093620020042400002,20090506,,3,폐업,3,폐업,20130520,,,,062-525-7582,,500060,광주광역시 북구 신안동 495-11번지 3층,"광주광역시 북구 자산로 89-1, 3층 (신안동)",500828,신안안마원,2.01305E+13,I,59:59.0,안마원,190942.711,185331.785,안마원,1,,,,,1,,52
43,의료유사업,01_01_10_P,3620000,PHMB420013620020042400002,20010827,,3,폐업,3,폐업,20020209,,,,,,500830,광주광역시 북구 신안동 240번지 28호 4층,"광주광역시 북구 서암대로 190 (신안동,4층)",,다모아안마시술소,2.01003E+13,I,59:59.0,안마시술소,191252.3186,185459.5082,안마시술소,2,,,,,10,,800
44,의료유사업,01_01_10_P,3620000,PHMB420023620020042400004,20020221,,3,폐업,3,폐업,20020412,,,,062-528-1615,,500830,광주광역시 북구 신안동 240번지 28호 4층,"광주광역시 북구 서암대로 190 (신안동,4층)",,다모아안마시술소,2.01003E+13,I,59:59.0,안마시술소,191252.3186,185459.5082,안마시술소,2,,,,,10,,800
45,의료유사업,01_01_10_P,3620000,PHMB420093620020042400003,20090611,,3,폐업,3,폐업,20100310,,,,514-4838,,500070,"광주광역시 북구 용봉동 1365-5번지 2층,3층,4층",,,용봉안마시술소,2.01003E+13,I,59:59.0,안마시술소,,,안마시술소,4,,,,,22,187.22,804.75
46,의료유사업,01_01_10_P,3620000,PHMB419943620020042400001,19941102,,3,폐업,3,폐업,20040302,,,,062-522-9800,,500829,광주광역시 북구 신안동 144번지 3호,광주광역시 북구 경양로103번길 24 (신안동),,해태안마시술소,2.01003E+13,I,59:59.0,안마시술소,191205.6722,184881.2408,안마시술소,2,,,,,10,,800
47,의료유사업,01_01_10_P,3620000,PHMB419953620020042400001,19950714,,3,폐업,3,폐업,20000421,,,,062-521-1745-6,,500850,광주광역시 북구 우산동 555번지 36호,광주광역시 북구 서암대로315번길 20-4 (우산동),,서방안마시술소,2.01003E+13,I,59:59.0,안마시술소,192498.998,185196.8502,안마시술소,2,,,,,10,,800
48,의료유사업,01_01_10_P,3620000,PHMB419953620020042400002,19950814,,3,폐업,3,폐업,20021115,,,,062-511-6686,,500862,광주광역시 북구 유동 113번지 9호,광주광역시 북구 금재로9번길 7 (유동),,유동안마시술소,2.01003E+13,I,59:59.0,안마시술소,191249.919,184368.0153,안마시술소,2,,,,,10,,800
49,의료유사업,01_01_10_P,3620000,PHMB419973620020042400001,19970127,,3,폐업,3,폐업,19980404,,,,,,500050,광주광역시 북구 북동 301번지 1호,광주광역시 북구 금남로 141 (북동),,은혜안마시술소,2.01003E+13,I,59:59.0,안마시술소,191715.348,183888.4617,안마시술소,2,,,,,10,,800
50,의료유사업,01_01_10_P,3620000,PHMB419983620020042400001,19980126,,3,폐업,3,폐업,19981020,,,,062-261-8273,,500809,광주광역시 북구 두암1동 881번지 12호,광주광역시 북구 서방로107번길 39 (두암동),,빛고을안마시술소,2.01003E+13,I,59:59.0,안마시술소,193099.8891,185900.4772,안마시술소,2,,,,,10,,800
51,의료유사업,01_01_10_P,3620000,PHMB419983620020042400002,19981021,,3,폐업,3,폐업,20010611,,,,062-673-8881,,500809,광주광역시 북구 두암1동 881번지 12호,광주광역시 북구 서방로107번길 39 (두암동),,빛고을안마시술소,2.01003E+13,I,59:59.0,안마시술소,193099.8891,185900.4772,안마시술소,2,,,,,10,,800
52,의료유사업,01_01_10_P,5340000,PHMB420015340030042400001,20010528,,3,폐업,3,폐업,20100412,,,,834-8688,,664831,경상남도 사천시 동금동,,,롯데안마시술소,2.01004E+13,I,59:59.0,안마시술소,,,안마시술소,2,,,,,12,,168.8
53,의료유사업,01_01_10_P,5340000,PHMB420035340030042400001,20030718,,3,폐업,3,폐업,20080310,,,,833-2333,,664240,경상남도 사천시 서금동,,,바다소리안마시술소,2.00912E+13,I,59:59.0,안마시술소,,,안마시술소,4,,,,,8,,199.5
54,의료유사업,01_01_10_P,5340000,PHMB420075340030042400001,20070208,,3,폐업,3,폐업,20150910,,,,852-8338,,664806,경상남도 사천시 사천읍 수석리 281번지 17호,경상남도 사천시 사천읍 읍내1길 27-7,52518,궁전안마시술소,2.01509E+13,I,59:59.0,안마시술소,299025.4076,176320.2139,안마시술소,2,,,,,16,,595.08
55,의료유사업,01_01_10_P,5340000,PHMB420105340030042400001,20100914,,3,폐업,3,폐업,20171206,,,,055-832-4080,,664831,경상남도 사천시 동금동 92번지 4호 ( 2층),경상남도 사천시 중앙로 88 (동금동),52560,에이스,2.01712E+13,I,59:59.0,안마시술소,298345.9951,159962.9921,안마시술소,2,,,,,9,19.2,299.86
56,의료유사업,01_01_10_P,5340000,PHMB420145340030042400001,20140326,,3,폐업,3,폐업,20170621,,,,832-8649,,,,경상남도 사천시 새동네1길 110 (동동),52556,삼천포안마마사지지압원,2.01712E+13,I,59:59.0,안마원,297721.8767,160007.9909,안마원,0,,,,,,,71.54
57,의료유사업,01_01_10_P,5340000,PHMB420085340030042400002,20080321,,3,폐업,3,폐업,20210902,,,,055-833-2303,,,,"경상남도 사천시 목섬길 113 (서금동, 구찌가요방)",52568,상상안마,2.02109E+13,U,40:00.0,안마시술소,298245.5075,159061.2477,안마시술소,2,0,0,0,0,5,0,394.66
58,의료유사업,01_01_10_P,4620000,PHMB420064620040042400001,20060315,,3,폐업,3,폐업,20161004,,,,,,357902,충청남도 태안군 태안읍 남문3리 637번지 9호,충청남도 태안군 태안읍 시장1길 8,32143,로얄안마시술소,2.0161E+13,I,59:59.0,안마시술소,136919.2147,361486.3574,안마시술소,2,,,,,18,,543.46
59,의료유사업,01_01_10_P,4620000,PHMB420154620040042400001,20151113,,3,폐업,3,폐업,20190621,,,,675-7337,,,,"충청남도 태안군 태안읍 중앙로 42, 2층",32142,태안건강안마원,2.01906E+13,U,40:00.0,안마원,136872.3365,361748.4008,안마원,2,,,,,7,,118.11
60,의료유사업,01_01_10_P,4610000,PHMB420134610020042400001,20130401,,3,폐업,3,폐업,20180402,,,,,,340924,충청남도 예산군 덕산면 신평리 186번지 2호,충청남도 예산군 덕산면 신평1길 16,32406,힐링 안마시술소,2.01804E+13,I,59:59.0,안마시술소,169822.9719,354746.9564,안마시술소,2,,,,,13,,347.8
61,의료유사업,01_01_10_P,5690000,PHMB420185690045042400001,20180430,,3,폐업,3,폐업,,,,,044-865-6785,,,세종특별자치시 아름동 1296번지 해피라움1 408호,"세종특별자치시 보듬3로 100, 해피라움1 4층 408호 (아름동)",30100,천수지압원,2.02201E+13,U,40:00.0,안마원,222185.1871,334575.8648,안마원,0,0,0,0,0,2,0,78.57
62,의료유사업,01_01_10_P,5690000,PHMB420034560018042400001,20030825,,3,폐업,3,폐업,20200514,20141202,20150228,,044-868-4789,,339801,세종특별자치시 조치원읍 교리 22번지 2호 정행빌딩 4층,세종특별자치시 조치원읍 조치원7길 27 (정행빌딩 4층),,드림안마시술소,2.0201E+13,U,40:00.0,안마시술소,226785.0523,344667.9234,안마시술소,2,,,,,13,5.6,337.48
63,의료유사업,01_01_10_P,5690000,PHMB420054560018042400001,20050803,,3,폐업,3,폐업,20130701,,,,868-3877,,339882,세종특별자치시 조치원읍 정리  풍산@상가 101-101,,,서울안마원,2.01307E+13,I,59:59.0,안마원,,,안마원,1,,,,,1,,36
64,의료유사업,01_01_10_P,5690000,PHMB420074560018042400001,20071105,,3,폐업,3,폐업,20090616,20090501,20091030,,864-8911,,339883,세종특별자치시 조치원읍 원리 2번지 3호,세종특별자치시 조치원읍 새내12길 40,,에이스안마시술소,2.01008E+13,I,59:59.0,안마시술소,226773.4857,344616.2506,안마시술소,2,,,,,14,,359.56
65,의료유사업,01_01_10_P,5690000,PHMB420104560018042400001,20100507,,3,폐업,3,폐업,20120508,,,,868-1033,,339883,세종특별자치시 조치원읍 원리 2번지 3호 2층,세종특별자치시 조치원읍 새내12길 40 (2층),,에이스안마시술소,2.01205E+13,I,59:59.0,안마시술소,226773.4857,344616.2506,안마시술소,2,,,,,13,,359.56
66,의료유사업,01_01_10_P,4400000,PHMB420164400020042400001,20161118,,3,폐업,3,폐업,20180702,,,,043-645-0307,,,,충청북도 제천시 의병대로 60-1 (서부동),27171,옥임안마센터,2.01807E+13,I,59:59.0,안마원,307211.7642,404577.7397,안마원,1,,,,,5,,47.93
67,의료유사업,01_01_10_P,4470000,PHMB420054470017042400001,20050110,,3,폐업,3,폐업,20130716,,,,883-3511,,369851,충청북도 음성군 감곡면 왕장리 447번지 8호,충청북도 음성군 감곡면 장감로 118-1,369851,스카이안마시술소,2.01307E+13,I,59:59.0,안마시술소,256429.0991,402015.6143,안마시술소,2,,,,,16,,472
68,의료유사업,01_01_10_P,4470000,PHMB420094470017042400001,20090323,,3,폐업,3,폐업,20180402,,,,043-877-8533,,369904,충청북도 음성군 금왕읍 무극리 630번지 1호,충청북도 음성군 금왕읍 탑골길 2,,백송,2.01804E+13,I,59:59.0,안마시술소,252005.3762,387835.2972,안마시술소,2,,,,,9,,396
69,의료유사업,01_01_10_P,4400000,PHMB420094400020042400001,20090930,,3,폐업,3,폐업,20140830,,,,043-652-0310,,390060,충청북도 제천시 서부동 230번지 (1층),충청북도 제천시 의병대로7길 2 (서부동),390060,삼보,2.01409E+13,I,59:59.0,안마원,307005.7814,404699.0384,안마원,1,,,,,,,69.23
70,의료유사업,01_01_10_P,4400000,PHMB420024400020042400001,20020624,,3,폐업,3,폐업,20170824,,,,043-652-7676,,390150,충청북도 제천시 화산동 196번지 4호 (4층),충청북도 제천시 용두천로 66 (화산동),27183,조이안마시술소,2.01709E+13,I,59:59.0,안마시술소,307384.1057,404309.9853,안마시술소,2,,,,,13,,260.82
71,의료유사업,01_01_10_P,4400000,PHMB420084400020042400001,20080809,,3,폐업,3,폐업,20200330,20200319,20200719,,043-643-5979,,390120,"충청북도 제천시 영천동 354번지 (2층, 3층)",충청북도 제천시 내제로 11 (영천동),27185,일심안마시술소,2.02003E+13,U,40:00.0,안마시술소,307064.5292,403903.6574,안마시술소,3,,,,,12,,491.8
72,의료유사업,01_01_10_P,4400000,PHMB420074400020042400001,20070213,,3,폐업,3,폐업,20210125,,,,043-645-8824,,390012,충청북도 제천시 중앙로2가 73번지 6호,충청북도 제천시 의림대로22길 6 (중앙로2가),27168,청풍안마시술소,2.02102E+13,U,40:00.0,안마시술소,307738.0652,405189.2698,안마시술소,4,,,,,12,,316.2
73,의료유사업,01_01_10_P,3160000,PHMB420103160034042400002,20101005,,3,폐업,3,폐업,20110831,,,,02-3439-7730,,152748,서울특별시 구로구 신도림동 신도림1차푸르지오아파트 상가 240,,,액티브안마원,2.01108E+13,I,59:59.0,안마원,,,안마원,1,,,,,1,,38.36
74,의료유사업,01_01_10_P,3160000,PHMB420103160034042400003,20101021,,3,폐업,3,폐업,20110215,,,,857-7975,,152858,서울특별시 구로구 구로2동 497번지 5호 4층,"서울특별시 구로구 구로동로 240 (구로동,4층)",,도인기혈지압안마원,2.01102E+13,I,59:59.0,안마원,189556.1425,444208.1541,안마원,1,,,,,,,85
75,의료유사업,01_01_10_P,3160000,PHMB420013160034042400001,20011011,,3,폐업,3,폐업,20110312,,,,,,152894,서울특별시 구로구 오류1동 51번지 31호,서울특별시 구로구 경인로 200 (오류동),152894,씨티안마시술소,2.01103E+13,I,59:59.0,안마시술소,186079.5598,443702.0091,안마시술소,3,,,,,13,,514.14
76,의료유사업,01_01_10_P,3110000,PHMB419973110032042400001,19970910,,3,폐업,3,폐업,20080723,,,,383-1806,,122860,서울특별시 은평구 불광동 484번지 75호,서울특별시 은평구 통일로82길 11 (불광동),,리베안마시술소,2.00812E+13,I,59:59.0,안마시술소,192900.7924,457611.9262,안마시술소,2,,,,,18,,577.27
