name,addr,phone,link,region,x,y,NAVER_addr
이든7575지압원,"부산광역시 해운대구 해운대해변로 291, 304호 (중동, 크리스탈비치오피스텔)",703-7958,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.1624781,35.1607299,부산광역시 해운대구 해운대해변로 291 크리스탈비치오피스텔
이상운안마원,"부산광역시 북구 금곡대로 280-4, 4층 (화명동, 해동빌딩)",362-7588,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0138378,35.2332116,부산광역시 북구 금곡대로 280-4 해동빌딩
자오지압안마원,부산광역시 동래구 아시아드대로 250 (온천동),501-7532,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0685936,35.2058736,부산광역시 동래구 아시아드대로 250
재생안마원,"부산광역시 사하구 낙동대로 301 (괴정동, 일동지에닌아파트)",293-0994,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,128.9843313,35.0989879,부산광역시 사하구 낙동대로 301 일동지에닌
정다운안마원,"부산광역시 사하구 다대로 704, 401호 (다대동, 몰운대종합시장상가)",262-3089,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,128.9646215,35.048772,부산광역시 사하구 다대로 704 몰운대종합시장상가
조만호약손지압원,부산광역시 부산진구 동성로 134 (전포동),805-1237,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0645354,35.1609657,부산광역시 부산진구 동성로 134
주안마원,부산광역시 남구 수영로219번길 6 (대연동),623-1722,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0906129,35.1353587,부산광역시 남구 수영로219번길 6
지성안마지압원,부산광역시 금정구 동부곡로12번길 39 (부곡동),515-9675,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0946918,35.2248097,부산광역시 금정구 동부곡로12번길 39
지압박사안마원,"부산광역시 수영구 수영로 384번길 26, 2층 (남천동)",622-2807,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.1075625,35.1398634,부산광역시 수영구 수영로384번길 26
진(건강)안마원,부산광역시 동구 중앙대로349번길 38 (수정동),464-7535,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0451936,35.1264221,부산광역시 동구 중앙대로349번길 38
진성약손안마지압원,부산광역시 서구 천마로 226-1 (충무동),245-8248,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.022531,35.0956992,부산광역시 서구 천마로 226-1
찐안마원,"부산광역시 동래구 명장로 56-1, 2층 (명장동)",532-8585,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.1070912,35.2045593,부산광역시 동래구 명장로 56-1
착한손바른안마원,"부산광역시 기장군 정관읍 정관로 499, 401호",727-2778,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.1708156,35.3256952,부산광역시 기장군 정관읍 정관로 499
참사랑약손지압안마원,부산광역시 영도구 청학동 448-1,415-5141,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0602743,35.0918583,부산광역시 영도구 청학로31번길 6
천부안마원,부산광역시 북구 학사로17번나길 25 (화명동),361-7572,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0084022,35.2232089,부산광역시 북구 학사로17번나길 25
청담안마지압원,"부산광역시 부산진구 새싹로83-2번지, 2층 (부암동)",802-7999,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0532632,35.1642347,부산광역시 부산진구 새싹로 83-2
초원지압안마원,부산광역시 남구 고동골로 78번길 54 삼부맨션 101호 (문현동),635-8006,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0743532,35.1437887,부산광역시 남구 고동골로78번길 54 삼부맨션
충무안마원,부산광역시 서구 구덕로124번길 8-1 (토성동4가),247-0129,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0226683,35.0970505,부산광역시 서구 구덕로124번길 8-1
탑지압테라피안마원,"부산광역시 수영구 남천동 69-22번지, 3층",623-1120,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.1080316,35.1425922,부산광역시 수영구 남천서로 4
토닥토닥안마원,"부산광역시 동래구 충렬사로 38, 2층 (안락동)",010-5178-5305,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0979483,35.2024199,부산광역시 동래구 충렬사로 38
톡톡건강안마원,"부산광역시 해운대구 대천로 205, 벽산아파트 상가동 303호 (좌동)",,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.1799815,35.1705655,부산광역시 해운대구 대천로 205 벽산1차아파트
통증없는바른몸지압원,"부산광역시 해운대구 아랫반송로 13-1, 2층 (반송동)",544-9675,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.1476493,35.2255748,부산광역시 해운대구 아랫반송로 13-1
팔팔지압원,"부산광역시 사상구 사상로 88, 5층 (감전동)",313-0188,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,128.9920914,35.1551619,부산광역시 사상구 사상로 88 TY빌딩
푸른지압원,"부산광역시 해운대구 양운로 88, 102동 203호 (좌동, 해운대쌍용플래티넘트윈)",923-7575,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.1752589,35.1708521,부산광역시 해운대구 양운로 88 해운대쌍용플래티넘트윈
한국전통안마원,"부산광역시 동래구 사직북로 3, 501호 (사직동, 사직동백진빌딩)",507-2116,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0606482,35.1961787,부산광역시 동래구 사직북로 3 사직동백진빌딩
한미척추교정지압원,부산광역시 연제구 과정로 82 (연산동),751-4976,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.1073971,35.1785814,부산광역시 연제구 과정로 82
한서안마원,부산광역시 남구 못골번영로 79-1 (대연동),622-8275,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0887175,35.1422843,부산광역시 남구 못골번영로 79-1
한성지압원,"부산광역시 동구 고관로 164번길, 6층 (좌천동)",632-1122,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0507061,35.1315811,부산광역시 동구 고관로 164
해동지압원,부산광역시 사하구 장림번영로 103-1 (장림동),262-8397,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,128.9767422,35.0807485,부산광역시 사하구 장림번영로 103-1
해밀안마원,"부산광역시 부산진구 서전로 9번길 27, 순흥빌딩 4층 501호 (부전동)",819-1992,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0608981,35.1591119,부산광역시 부산진구 서전로9번길 27
행복지압원,"부산광역시 북구 만덕3로 15, 1층 (만덕동)",334-1925,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0259089,35.2124922,부산광역시 북구 만덕3로 15
