,name,addr,phone,etc
40,명가정통지압안마원,"부산광역시 부산진구 동평로 350, 양정현대프라자 5층 507호 (양정동)",633-2551,안마바우처제공기관
41,몸편한약손안마원,부산광역시 연제구 고분로13번길 61-3 (연산동),864-3617,안마바우처제공기관
42,바디케어지압원,부산광역시 부산진구 가야대로 525 (가야동),909-0365,안마바우처제공기관
43,바른몸건강지킴이안마원,"부산광역시 수영구 연수로401번길 4, 4층 (수영동)",761-1188,안마바우처제공기관
44,박기관안마지압원,"부산광역시 서구 해안새벽시장길 48, 2층 (충무동1가)",242-9955,안마바우처제공기관
45,백세건강지압안마원,부산광역시 해운대구 윗반송로 51번길 91-31 (반송동),542-6764,안마바우처제공기관
46,백진안마원,"부산광역시 영도구 태종로98, 5층 502호 (대교동2가, 모닝아일랜드)",412-1010,안마바우처제공기관
47,벧엘지압침술원,부산광역시 남구 석포로 125 (대연동),624-8872,
48,부산보건안마센터안마원,"부산광역시 강서구 명지국제8로 229, 201호 (명지동, 부산명지지구아이메디컬)",553-0754,안마바우처제공기관
49,부산안마지압원,부산광역시 남구 고동골로4번길 17 (문현동),463-5459,안마바우처제공기관
50,사랑지압원,부산광역시 금정구 서부로 39 (서동),525-9697,안마바우처제공기관
51,사쿠라안마원,부산광역시 해운대구 좌동순환로8번길 54-11 (중동),612-0002,
52,삼보지압원,부산광역시 부산진구 서전로 68번길 8 (전포동),802-3550,
53,서강안마지압원,"부산광역시 사하구 낙동대로 280, 사하역비스타동원상가 301동 B102호 (괴정동)",929-5414,
54,서면제일약손안마원,"부산광역시 부산진구 새싹로 26-1, 3층 (부전동)",808-3882,안마바우처제공기관
55,성심안마원,부산광역시 사하구 다대로136번길 6 (신평1동),202-7997,안마바우처제공기관
56,센텀엘림안마원,"부산광역시 해운대구 센텀3로 20, 벡스코 비즈니스 호텔 318호 (우동)",720-8100,안마바우처제공기관
57,소생안마원,부산광역시 연제구 연산동 1480-12 2층 203호,010-2357-6202,안마바우처제공기관
58,손안마원,부산광역시 중구 대청로99번길 19-4 (대청동4가),465-8808,안마바우처제공기관
59,수앤수안마원,부산광역시 해운대구 해운대로 814 (좌동),701-1144,안마바우처제공기관
60,수정지압안마원,"부산광역시 금정구 서동로 149번길 11, 2층 (서동)",526-2552,
61,수지압안마원,부산광역시 북구 백양대로 1180 2층 201호 (구포동),333-7574,안마바우처제공기관
62,수풀림안마원,부산광역시  중구 중앙대로 80 노블리안 지하1층 (중앙동4가),462-9595,안마바우처제공기관
63,승록안마원,"부산광역시 부산진구 진연로 9, 301호 (양정동, 제나두)",868-8955,안마바우처제공기관
64,신만수물리지압원,부산광역시 부산진구 가야대로 718 (범천동),804-7923,안마바우처제공기관
65,신세계안마원,부산광역시 해운대구 재반로 204 (반여동),990-9679,안마바우처제공기관
66,썬안마원,"부산광역시 해운대구 재반로 103번길 가길 58, 101호 (재송동)",731-0399,안마바우처제공기관
67,약손경락지압원,부산광역시 동래구 명륜로103번길 2 (명륜동),557-1470,안마바우처제공기관
68,약손지압원,부산광역시 북구 만덕대로 129 (덕천동),332-5632,
69,약청사지압원,부산광역시 중구 흑교로 79 (보수동2가),247-3110,
70,양지안마지압원,"부산광역시 사하구 낙동대로 376, 3층 (당리동)",205-2522,안마바우처제공기관
71,어울림지압원,"부산광역시 남구 못골로12번길 35, 6층 602호 (대연동)",907-8478,안마바우처제공기관
72,연산우리들안마원,부산광역시 연제구 월드컵대로10번길 2 (연산동),544-9928,안마바우처제공기관
73,영도지압안마원,부산광역시 영도구 동삼서로 6-4 (동삼동),403-6829,안마바우처제공기관
74,영성안마원,부산광역시 남구 전포대로 76 (문현동),634-7576,안마바우처제공기관
75,영지압원,부산광역시 서구 천마로 145-1 (남부민동),010-6708-2816,
76,예림안마원,"부산광역시 서구 대영로 78, 2층 (동대신동1가, 동대맨션)",255-3175,안마바우처제공기관
77,온지압안마원,부산광역시 동구 조방로 38 (범일동),867-9417,안마바우처제공기관
78,용약손안마원,부산광역시 동래구 명안로39길 4 (안락동),523-5052,안마바우처제공기관
79,용인안마원,부산광역시 사하구 다대로140번길 163 (신평동),203-7297,
80,우리안마원,"부산광역시 남구 못골 번영로 11, 5층 (대연동, 성산빌딩)",626-7575,안마바우처제공기관
81,우리전통안마원,"부산광역시 연제구 과정로 202, 2층 (연산동)",753-3379,안마바우처제공기관
82,우진지압원,부산광역시 북구 화명신도시로 129 골든프라자 502호 (화명동),361-1116,안마바우처제공기관
83,웰빙안마원,부산광역시 부산진구 당감서로9번길 3 (당감동),896-9675,안마바우처제공기관
84,위드지압원,부산광역시 부산진구 동평로420번길 13 (양정동),852-7566,안마바우처제공기관
85,이든7575지압원,"부산광역시 해운대구 해운대해변로 291, 304호 (중동, 크리스탈비치오피스텔)",703-7958,안마바우처제공기관
86,이상운안마원,"부산광역시 북구 금곡대로 280-4, 4층 (화명동, 해동빌딩)",362-7588,안마바우처제공기관
87,자오지압안마원,부산광역시 동래구 아시아드대로 250 (온천동),501-7532,안마바우처제공기관
88,재생안마원,"부산광역시 사하구 낙동대로 301 (괴정동, 일동지에닌아파트)",293-0994,안마바우처제공기관
89,정다운안마원,"부산광역시 사하구 다대로 704, 401호 (다대동, 몰운대종합시장상가)",262-3089,안마바우처제공기관
90,조만호약손지압원,부산광역시 부산진구 동성로 134 (전포동),805-1237,안마바우처제공기관
91,주안마원,부산광역시 남구 수영로219번길 6 (대연동),623-1722,
92,지성안마지압원,부산광역시 금정구 동부곡로12번길 39 (부곡동),515-9675,안마바우처제공기관
93,지압박사안마원,"부산광역시 수영구 수영로 384번길 26, 2층 (남천동)",622-2807,
94,진(건강)안마원,부산광역시 동구 중앙대로349번길 38 (수정동),464-7535,안마바우처제공기관
95,진성약손안마지압원,부산광역시 서구 천마로 226-1 (충무동),245-8248,안마바우처제공기관
96,찐안마원,"부산광역시 동래구 명장로 56-1, 2층 (명장동)",532-8585,안마바우처제공기관
97,착한손바른안마원,"부산광역시 기장군 정관읍 정관로 499, 401호",727-2778,안마바우처제공기관
98,참사랑약손지압안마원,부산광역시 영도구 청학동 448-1,415-5141,안마바우처제공기관
99,천부안마원,부산광역시 북구 학사로17번나길 25 (화명동),361-7572,안마바우처제공기관
100,청담안마지압원,"부산광역시 부산진구 새싹로83-2번지, 2층 (부암동)",802-7999,안마바우처제공기관
101,초원지압안마원,부산광역시 남구 고동골로 78번길 54 삼부맨션 101호 (문현동),635-8006,안마바우처제공기관
102,충무안마원,부산광역시 서구 구덕로124번길 8-1 (토성동4가),247-0129,안마바우처제공기관
103,탑지압테라피안마원,"부산광역시 수영구 남천동 69-22번지, 3층",623-1120,안마바우처제공기관
104,토닥토닥안마원,"부산광역시 동래구 충렬사로 38, 2층 (안락동)",010-5178-5305,안마바우처제공기관
105,톡톡건강안마원,"부산광역시 해운대구 대천로 205, 벽산아파트 상가동 303호 (좌동)",,
106,통증없는바른몸지압원,"부산광역시 해운대구 아랫반송로 13-1, 2층 (반송동)",544-9675,안마바우처제공기관
107,팔팔지압원,"부산광역시 사상구 사상로 88, 5층 (감전동)",313-0188,
108,푸른지압원,"부산광역시 해운대구 양운로 88, 102동 203호 (좌동, 해운대쌍용플래티넘트윈)",923-7575,안마바우처제공기관
109,한국전통안마원,"부산광역시 동래구 사직북로 3, 501호 (사직동, 사직동백진빌딩)",507-2116,안마바우처제공기관
110,한미척추교정지압원,부산광역시 연제구 과정로 82 (연산동),751-4976,안마바우처제공기관
111,한서안마원,부산광역시 남구 못골번영로 79-1 (대연동),622-8275,안마바우처제공기관
112,한성지압원,"부산광역시 동구 고관로 164번길, 6층 (좌천동)",632-1122,안마바우처제공기관
113,해동지압원,부산광역시 사하구 장림번영로 103-1 (장림동),262-8397,
114,해밀안마원,"부산광역시 부산진구 서전로 9번길 27, 순흥빌딩 4층 501호 (부전동)",819-1992,안마바우처제공기관
115,행복지압원,"부산광역시 북구 만덕3로 15, 1층 (만덕동)",334-1925,안마바우처제공기관
116,행복한힐링안마원,부산광역시 사하구 동매로 81번길 1 (하단동),202-9393,
117,화명지압안마원,"부산광역시 북구 금곡대로 303번길 12, 샤롯데 203호 (화명동)",362-7575,안마바우처제공기관
118,회복지압원,부산광역시 동래구 여고북로 167 (온천동),501-3369,안마바우처제공기관
119,효사랑안마지압원,"부산광역시 사하구 장평로 449번길 26, 청아하늘정원 2차 상가 101호 (괴정동)",205-3331,안마바우처제공기관
