지역,사업장명,주소,전화번호,링크,x,y,NAVER_addr
서울,마곡지압안마원,서울 강서구 강서로 462 대룡드림타워 2층 203호,02-3665-2677,/FindShop/Detail?shopId=02-0138,126.841407,37.5666172,서울특별시 강서구 강서로 462 대룡드림타워-1
서울,맑은손안마원,"서울시 마포구 양화로3길 37, 2층(합정동 386-39)",02-336-8753,/FindShop/Detail?shopId=02-0153,126.9112176,37.5505639,서울특별시 마포구 양화로3길 37
서울,메디칼지압안마원,서울특별시 구로구 구로동로26길 8(구로동 731-1),02-855-7576,/FindShop/Detail?shopId=02-0011,126.8847379,37.4902569,서울특별시 구로구 구로동로26길 8 기산빅프라자
서울,명인지압안마원,서울특별시 서초구 서초대로 306(서초동) 201호,"010-9351-7575, 02-522-9555",/FindShop/Detail?shopId=02-0080,127.0151597,37.4938614,서울특별시 서초구 서초대로 306 서초1동우편취급소
서울,명지압안마원,"서울특별시 광진구 자양로5길 8(자양동, 태솔타운) 201호",02-453-7418,/FindShop/Detail?shopId=02-0009,127.0849065,37.5320841,서울특별시 광진구 자양로5길 8 태솔타운
서울,몸사랑지압안마원(마포),서울특별시 마포구 서강로 104(신수동 66-4) 2층,02-332-2809,/FindShop/Detail?shopId=02-0081,126.93336,37.5522305,서울특별시 마포구 서강로 104
서울,무병장수안마원,서울특별시 동대문구 왕산로33길 21 (제기동) 2층,02-969-1475,/FindShop/Detail?shopId=02-0083,127.0417184,37.5802671,서울특별시 동대문구 왕산로33길 21
서울,밀알안마원,서울특별시 마포구 월드컵북로 184 (성산동) 2층,010-5553-7503,/FindShop/Detail?shopId=02-0085,126.9083867,37.5681393,서울특별시 마포구 월드컵북로 184
서울,바른손길안마원,서울특별시 관악구 관악로15길 6 (봉천동) 4층,02-878-1275,/FindShop/Detail?shopId=02-0141,126.9520784,37.4804114,서울특별시 관악구 관악로15길 6
서울,바른척추안마원,서울특별시 강서구 공항대로 227 (마곡동) 마곡센트럴타워 1차 406호,02-3664-7572,/FindShop/Detail?shopId=02-0174,126.8326863,37.5596003,서울특별시 강서구 공항대로 227 마곡센트럴타워Ⅰ
서울,박덕화안마원,서울특별시 강북구 도봉로 325(수유동),02-905-9993,/FindShop/Detail?shopId=02-0180,127.0243657,37.637326,서울특별시 강북구 도봉로 325 수성타워
서울,발산안마원,서울특별시 강서구 강서로 349(내발산동 654-4) 1층,02-2661-1375,/FindShop/Detail?shopId=02-0003,126.8374016,37.5568905,서울특별시 강서구 강서로 349
서울,백지압안마원,서울특별시 노원구 동일로 1343 (상계동),02-932-6700,/FindShop/Detail?shopId=02-0181,127.0620148,37.6484977,서울특별시 노원구 동일로 1343 동일프라자빌딩
서울,보라매맥진안마원,서울동작구 대방동1길 15-1하이빌,02-832-7575,/FindShop/Detail?shopId=02-0187,126.9259212,37.5002109,서울특별시 동작구 대방동1길 15-1 하이빌
서울,보라매지압안마원,서울특별시 관악구 봉천로 223-1 (봉천동 972-21) 2층,"010-3341-3145, 02-875-2789",/FindShop/Detail?shopId=02-0087,126.9266734,37.4900101,서울특별시 관악구 봉천로 223-1
서울,북창지압안마원,서울특별시 중구 남대문로1길 26-3 (북창동 71-4) 효림빌딩 3층,02-755-7113,/FindShop/Detail?shopId=02-0088,126.9776247,37.562357,서울특별시 중구 남대문로1길 26-3
서울,새아침안마원,서울특별시 양천구 신월로 309-1 (신정동 976-6)976-6,"010-5284-9999, 02-2695-6666",/FindShop/Detail?shopId=02-0037,126.8553185,37.5218121,서울특별시 양천구 신월로 309-1
서울,새힘힐링안마원,서울특별시 광진구 능동로39길 9 (중곡동 648-20) 201호,02-452-0691,/FindShop/Detail?shopId=02-0164,127.079564,37.5584367,서울특별시 광진구 능동로39길 9
서울,서울건강안마원,서울특별시 동작구 여의대방로 134-1 (대방동) 봉림빌딩 303호,02-825-9988,/FindShop/Detail?shopId=02-0022,126.9207254,37.4990402,서울특별시 동작구 여의대방로 134-1
서울,서울보건안마센터,"서울특별시 영등포구 당산로 214 (당산동5가, 당산 삼성 래미안) 상가동 지층09호",02-2069-1114,/FindShop/Detail?shopId=02-0050,126.9031452,37.5322866,서울특별시 영등포구 당산로 214 당산 삼성 래미안
서울,서울보건안마원,서울특별시 강남구 개포로 510(개포동 186-16) 401호,02-576-7573,/FindShop/Detail?shopId=02-0154,127.0683608,37.4892964,서울특별시 강남구 개포로 510 현대빌딩
서울,서울보건안마원,"서울시 양천구 목동로 177, 정동빌딩 402호",02-2694-1114,/FindShop/Detail?shopId=02-0156,126.8645119,37.5243084,서울특별시 양천구 목동로 177 정동프라자
서울,성심건강지압안마원,서울특별시 도봉구 노해로 341 (창동 338) 신원리베르텔 314호,02-905-9663,/FindShop/Detail?shopId=02-0090,127.0459347,37.6514553,서울특별시 도봉구 노해로 341 신원리베르텔
서울,손박사지압교정안마원,"서울 영등포구 신길동833 (여의대방로 197), 2층",02-822-4441,/FindShop/Detail?shopId=02-0150,126.9218142,37.5045449,서울특별시 영등포구 여의대방로 197
서울,승록안마원,서울시 영등포구 도영로 80 (도림동 819) 대우미래사랑 101동 207호,02-845-7775,/FindShop/Detail?shopId=02-0093,126.9004813,37.5115140,서울특별시 영등포구 도영로 80 대우미래사랑
서울,승록안마원(중곡),서울시 광진구 중곡동29-80,02-461-7078,/FindShop/Detail?shopId=02-0010,127.0854566,37.567611,서울특별시 광진구 능동로 436
서울,승록자극요법안마원,"서울특별시 성동구 금호산9가길 34 (금호동3가, 금화아트빌)",02-2238-9087,/FindShop/Detail?shopId=02-0094,127.0188274,37.5518601,서울특별시 성동구 금호산9가길 34 금화아트빌
서울,신동만안마원,서울특별시 동대문구 경동시장로 11 (제기동) 2층,02-960-7844,/FindShop/Detail?shopId=02-0177,127.0405989,37.5799091,서울특별시 동대문구 경동시장로 11
서울,신의한손안마원,서울시 은평구 대조동 188-1 2층,02-356-7445,/FindShop/Detail?shopId=02-0145,126.9242678,37.6157078,서울특별시 은평구 통일로 803-1 서부빌딩
서울,실로암장애인근로사업장,서울 관악구 봉천동931-14,02-888-0729,/FindShop/Detail?shopId=02-0096,126.9412408,37.4830741,
서울,심광안마원,서울특별시 도봉구 노해로60길 26 (쌍문동),02-900-5173,/FindShop/Detail?shopId=02-0097,127.0344053,37.6502257,서울특별시 도봉구 노해로60길 26
서울,아바통증완화클리닉안마원,서울특별시 서초구 서초중앙로 107 (서초동 1575-9) 502호,010-8732-4949,/FindShop/Detail?shopId=02-0098,127.0137966,37.4914591,서울특별시 서초구 서초중앙로 107 삼화빌딩
서울,약손119안마원(서대문),서울특별시 서대문구 신촌역로 4 (대현동101-22) 2층,02-332-4300,/FindShop/Detail?shopId=02-0027,126.9431302,37.5571133,서울특별시 서대문구 신촌역로 4
서울,약손365안마원(목동),서울특별시 양천구 목동중앙북로7길 13 (목동 609-17) 3층,02-2655-2200,/FindShop/Detail?shopId=02-0099,126.8672854,37.5487456,서울특별시 양천구 목동중앙북로7길 13 남강빌딩
서울,약손경락안마원,서울특별시 서대문구 세무서길 84 (홍제동 268-6),02-394-6969,/FindShop/Detail?shopId=02-0100,126.9471555,37.5914047,서울특별시 서대문구 세무서길 84
서울,약손헬스케어(개봉동),서울특별시 구로구 개봉로6길 8 (개봉동) 201호,02-2685-2065,/FindShop/Detail?shopId=02-0101,126.8569696,37.4867895,서울특별시 구로구 개봉로6길 8
서울,약손CARE안마원,서울특별시 성북구 삼양로12길 7 (길음동) 지하1층,02-985-7572,/FindShop/Detail?shopId=02-0102,127.0231023,37.6101131,서울특별시 성북구 삼양로12길 7
서울,약수안마원,"서울특별시 중구 동호로10길 30 (신당동, 약수하이츠) 상가동 305호",02-2233-3040,/FindShop/Detail?shopId=02-0103,127.0147458,37.5548919,서울특별시 중구 동호로10길 30 약수하이츠
서울,어머니약손안마원,"서울특별시 강남구 삼성로 212 (대치동, 은마아파트) 202호",02-2057-7582,/FindShop/Detail?shopId=02-0104,127.0650701,37.4977415,서울특별시 강남구 삼성로 212 은마아파트
서울,엄지지압안마원,서울특별시 중랑구 면목로85길 8 (상봉동 108-36) 성우빌딩 2층,02-496-9703,/FindShop/Detail?shopId=02-0152,127.0857637,37.5933418,서울특별시 중랑구 면목로85길 8 성우빌딩
서울,엔자임힐링마사지전통경락안마원,서울특별시 마포구 만리재옛길 8 (신공덕동) 2층,"02-719-2234, 010-3350-5440",/FindShop/Detail?shopId=02-0106,126.9545537,37.5449628,서울특별시 마포구 만리재옛길 8
서울,영광지압힐링센터안마원,서울특별시 서대문구 북아현로 26-10 (북아현동),"010-2480-1135, 02-393-4568",/FindShop/Detail?shopId=02-0108,126.9569759,37.5598379,서울특별시 서대문구 북아현로 26-10
서울,예침지압안마원,"서울특별시 강북구 노해로7가길 30-5 (수유동, 엘루체) 201호",02-983-0065,/FindShop/Detail?shopId=02-0052,127.0203619,37.6372051,서울특별시 강북구 노해로7가길 30-5 엘루체
서울,우리안마원,"서울특별시 종로구 사직로8길 42 (내수동, 광화문시대) 719호",02-725-3298,/FindShop/Detail?shopId=02-0041,126.9731379,37.573774,서울특별시 종로구 사직로8길 42 광화문시대
서울,윤앤안마원,"서울특별시 관악구 신림로 318 (신림동, 청암두산위브센티움) 609호",010-2788-0240,/FindShop/Detail?shopId=02-0069,126.9302485,37.4825924,서울특별시 관악구 신림로 318 청암두산위브센티움
서울,은평건강안마원,서울특별시 은평구 은평로13길 3-1 (응암동) 2층,02-358-9675,/FindShop/Detail?shopId=02-0142,126.9255891,37.6016169,서울특별시 은평구 은평로13길 3-1
서울,은혜지압안마원,서울특별시 강동구 양재대로116길 29 (길동 364-12) 2층,02-489-0489,/FindShop/Detail?shopId=02-0112,127.1421587,37.5384482,서울특별시 강동구 양재대로116길 29 금영빌딩
서울,이성호안마원,서울특별시 광진구 아차산로49길 34-4 (구의동 252-128),02-446-2895,/FindShop/Detail?shopId=02-0048,127.0845886,37.5383364,서울특별시 광진구 아차산로49길 34-4
서울,이아소안마원,서울특별시 금천구 금하로 734-1(시흥동),02-869-7776,/FindShop/Detail?shopId=02-0183,126.9113145,37.4502935,서울특별시 금천구 금하로 734-1
서울,이조은안마원,"서울특별시 은평구 통일로67길 11 (대조동 9-40, 해오름시티) 2층 201호",02-354-8575,/FindShop/Detail?shopId=02-0039,126.9281646,37.6106276,서울특별시 은평구 통일로67길 11 해오름시티
서울,전통안마지압원,서울특별시 중구 퇴계로88길 61 (신당동) 3층,02-2238-8085,/FindShop/Detail?shopId=02-0115,127.0195635,37.5632753,서울특별시 중구 퇴계로88길 61
서울,전통약손안마원,서울특별시 은평구 통일로 833-5 (대조동) 201호,02-389-3897,/FindShop/Detail?shopId=02-0040,126.9217977,37.6175608,서울특별시 은평구 통일로 833-5
서울,정주지압안마원,서울특별시 양천구 오목로24길 17-1 (신정동 970-13),02-2608-9032,/FindShop/Detail?shopId=02-0116,126.8525355,37.5227274,서울특별시 양천구 오목로24길 17-1
서울,정지압안마원,서울특별시 관악구 남부순환로 1703 (봉천동 944-14) 2층,02-873-2879,/FindShop/Detail?shopId=02-0007,126.9395413,37.4836028,서울특별시 관악구 남부순환로 1703
서울,정지압안마원(신당),서울특별시 중구 동호로12길 60 (신당동 370-93),010-5252-2421,/FindShop/Detail?shopId=02-0117,127.011853,37.5578111,서울특별시 중구 동호로12길 60
서울,정체안마원,서울특별시 관악구 봉천로 493 (봉천동) 3층,02-6408-8868,/FindShop/Detail?shopId=02-0151,126.9547678,37.4816863,서울특별시 관악구 봉천로 493
서울,정통지압안마원(양천),서울시 양천구 신정동992-1 307호,02-2668-6556,/FindShop/Detail?shopId=02-0038,126.863005,37.525697,서울특별시 양천구 오목로 232 보성팰리스
서울,조은지압안마원,서울특별시 노원구 동일로180길 37 (공릉동) 2층,070-7717-7575,/FindShop/Detail?shopId=02-0184,127.0762635,37.6226954,서울특별시 노원구 동일로180길 37 공릉상가
서울,참손길안마원(대치),서울특별시 강남구 테헤란로70길 10 (대치동) 4층,"02-1599-3175, 02-566-3175",/FindShop/Detail?shopId=02-0143,127.0532078,37.5049976,서울특별시 강남구 테헤란로70길 10 동헌빌딩
서울,참손길안마원(사당),서울특별시 동작구 동작대로 83 (사당동) 4층,02-1600-3175,/FindShop/Detail?shopId=02-0077,126.9816296,37.4840375,서울특별시 동작구 동작대로 83 헤라피스빌딩
서울,참손길안마원(합정),서울특별시 마포구 성지길 25-11 (합정동) 2층,02-332-3175,/FindShop/Detail?shopId=02-0144,126.9140408,37.5474274,서울특별시 마포구 성지길 25-11
서울,참손길지압안마원,"서울특별시 영등포구 여의대방로 375 (여의도동) 401,402호",02-785-3175,/FindShop/Detail?shopId=02-0176,126.9307891,37.5189066,서울특별시 영등포구 여의대방로 375 아일렉스타워
서울,청량리명안마원,서울시 동대문구 왕산로228 청아빌딩 2층,010-4290-2505 02-961-8100,/FindShop/Detail?shopId=02-0092,127.0477725,37.5818277,서울특별시 동대문구 왕산로 228
서울,청솔지압안마원,"서울특별시 은평구 은평로13길 5-14 (응암동 85-24, 삼부하이빌) 402호",02-546-8557,/FindShop/Detail?shopId=02-0046,126.9249126,37.6017019,서울특별시 은평구 은평로13길 5-14 삼부하이빌
서울,체형밸런스안마원,서울시 서초구 서초동 1659-13,02-3446-2808,/FindShop/Detail?shopId=02-0167,127.015957,37.4931845,서울특별시 서초구 서초대로54길 24
서울,춘강안마원,"서울특별시 서초구 효령로21길 10 (방배동, 자이빌리지) 101호",02-3471-7734,/FindShop/Detail?shopId=02-0029,126.9928304,37.4806613,서울특별시 서초구 효령로21길 10 자이빌리지
서울,케이지압안마원,서울특별시 강남구 학동로42길 73 (논현동) 2층,02-549-1478,/FindShop/Detail?shopId=02-0182,127.0377899,37.5109809,서울특별시 강남구 학동로42길 73
서울,클린3호점안마원,서울시 서초구 양재동 6-36,02-585-3133,/FindShop/Detail?shopId=02-0173,127.0410968,37.4818478,서울특별시 서초구 바우뫼로41길 30 양재테크노3차아파트
서울,클린안마센터서울5호점,서울특별시 강남구 일원로9길 10 (일원동),02-445-0530,/FindShop/Detail?shopId=02-0119,127.0823911,37.489443,서울특별시 강남구 일원로9길 10
서울,클린안마센터서울7호점,"서울특별시 도봉구 해등로 118 (창동, 상아1차아파트) 상가동 205호",02-907-1116,/FindShop/Detail?shopId=02-0019,127.0424203,37.6541696,서울특별시 도봉구 해등로 118 상아1차아파트
서울,태양지압안마원,서울 금천구 시흥동841-46,02-896-7575,/FindShop/Detail?shopId=02-0120,126.9034075,37.4543644,서울특별시 금천구 금하로11길 8
서울,튼튼안마원,서울 동작구 대방동415-6,070-8728-7579,/FindShop/Detail?shopId=02-0122,126.921055,37.49868,서울특별시 동작구 여의대방로24가길 10
서울,평강안마원(구로),서울 구로구 구로동26 신도림포스빌 401호,010-8126-0997,/FindShop/Detail?shopId=02-0125,126.89166,37.5057065,서울특별시 구로구 새말로 102 신도림포스빌
서울,한강안마원(동작),서울특별시 동작구 노량진로 206 (노량진동),02-814-5114,/FindShop/Detail?shopId=02-0129,126.9486586,37.5127519,서울특별시 동작구 노량진로 206 백명트렌디타워
서울,한국정통안마원,서울특별시 노원구 동일로 1368(상계동) 501호,02-932-7577,/FindShop/Detail?shopId=02-0185,127.0619362,37.6507458,서울특별시 노원구 동일로 1368 롯데프라자빌딩
서울,해동안마원,서울특별시 중랑구 중랑역로 99 (중화동),02-433-6887,/FindShop/Detail?shopId=02-0045,127.07781,37.6024355,서울특별시 중랑구 중랑역로 100 정상빌딩
서울,행복안마원,서울 영등포구 당산동1가369번지 1층,011-9733-9733,/FindShop/Detail?shopId=02-0131,126.8981024,37.5230299,서울특별시 영등포구 영등포로25길 23-1
서울,황제지압안마원,서울특별시 동대문구 고산자로 459 1층,010-6279-8292,/FindShop/Detail?shopId=02-0162,127.0382054,37.580666,서울특별시 동대문구 고산자로 459
서울,힐링수안마원,서울시 동작구 대방동 339-14,02-814-5516,/FindShop/Detail?shopId=02-0023,126.9282308,37.5128133,서울특별시 동작구 노량진로 20-5 레토하우스
서울,힐링스토리안마원,서울시 광진구 자양동 627-21번지 덕산빌딩 201호,02-3436-7582,/FindShop/Detail?shopId=02-0133,127.0838652,37.5350665,서울특별시 광진구 자양로 81
서울,힐링스토리안마원,서울시 노원구 상계동 323-13 대국빌딩 3층,02.931.5550,/FindShop/Detail?shopId=02-0149,127.0645763,37.6554135,서울특별시 노원구 노해로 509 대국빌딩
서울,힐링약손안마원,서울시 강북구 도봉로 34-8 레드스타타워4층,02-6368-6111,/FindShop/Detail?shopId=02-0168,127.0308153,37.6122736,서울특별시 강북구 도봉로 34-8
서울,힐링캠프훈안마원,서울 서초구 서초동1691-1 현대빌딩 5층,02-573-3007,/FindShop/Detail?shopId=02-0134,127.0155443,37.4947183,서울특별시 서초구 서초중앙로24길 18
서울,KS약손명가안마원,서울 중랑구 면목7동634-10 한성빌딩 4층,02-438-3375,/FindShop/Detail?shopId=02-0136,127.0871827,37.5797626,서울특별시 중랑구 면목로39길 8 한성빌딩
서울,ks약손명가안마원,서울특별시 중랑구 면목로39길 8 (면목동) 한성빌딩 4층,02-438-3375,/FindShop/Detail?shopId=02-0178,127.0871899,37.5797729,서울특별시 중랑구 면목로39길 8 한성빌딩
서울,OJS치유안마원,서울시 용산구  녹사평대로 168-11 1층,02-2275-0675,/FindShop/Detail?shopId=02-0135,126.9896094,37.5334038,서울특별시 용산구 녹사평대로 168-11
경기,가나안안마원,"경기 부천시 부일로 414-6, 한일코지세상 A동 2층",032-667-7575,/FindShop/Detail?shopId=031-0040,126.7760686,37.4866527,경기도 부천시 부일로 414-6 한일코지세상
경기,가능안마원,"경기도 의정부시 의정부동 403-20, 1층",031-871-5015,/FindShop/Detail?shopId=031-0194,127.0398712,37.744897,경기도 의정부시 가능로74번길 39-18
경기,강남 안마원,"경기도 부천시 도당동 279-5, 301호",032-665-2254,/FindShop/Detail?shopId=031-0228,126.7805721,37.5061671,경기도 부천시 옥산로 142
경기,건강100세안마원,"경기도 남양주시 화도읍 마석우리288-7, 2층",031-559-0119,/FindShop/Detail?shopId=031-0214,127.3098345,37.6521369,경기도 남양주시 화도읍 마석중앙로 91
경기,건강드림안마원,경기도 고양시 일산동구 정발산동 1139 석우빌딩 502호,031-921-2001,/FindShop/Detail?shopId=031-0011,126.7762173,37.6743832,경기도 고양시 일산동구 일산로 460 석우빌딩
경기,건강백세지압안마원(수원),"경기도 수원시 장안구 영화동 345-3, 2동",031-242-0506,/FindShop/Detail?shopId=031-0063,127.0106291,37.2914156,경기도 수원시 장안구 정조로945번길 24
경기,건강안마원(수원),경기도 수원시 팔달구 우만동 527-34,031-212-7722,/FindShop/Detail?shopId=031-0176,127.030758,37.2825366,경기도 수원시 팔달구 팔달문로 135
경기,건강약손지압안마원,"경기도 의정부시 의정부동 406-4, 2층",031-856-8822,/FindShop/Detail?shopId=031-0121,127.0395895,37.7466575,경기도 의정부시 가능로 78
경기,건강지압교정안마원,"경기도 수원시 권선구 금곡동 240-27, 1층",031-294-7585,/FindShop/Detail?shopId=031-0218,126.9577583,37.2698891,경기도 수원시 권선구 금호로 57
경기,건강지압안마원,"경기 안산시 상록구 본오3동 덕암빌딩 873-9 202, 203호",031-409-8575,/FindShop/Detail?shopId=031-0080,126.8760520,37.2902799,
경기,건강지압안마원(여주),"경기도 여주시 대신면 율촌리 363-15, 덕암빌딩 2층",031-883-8799,/FindShop/Detail?shopId=031-0099,127.5835069,37.373332,경기도 여주시 대신면 여양로 1484
경기,경기안마원,"경기도 수원시 권선구 세류3동 477-14, 1층",031-233-8438,/FindShop/Detail?shopId=031-0058,127.01275,37.2603669,경기도 수원시 권선구 정조로 575
경기,경락약손치료안마원,"경기도 시흥시 정왕동 1728-20, 407호",031-432-6282,/FindShop/Detail?shopId=031-0073,126.7339281,37.3460772,경기도 시흥시 중심상가로 161 그라미아빌딩
경기,경안지압안마시술원,경기 안양시 동안구 관양동 1488-1,031-423-3171,/FindShop/Detail?shopId=031-0083,126.9748143,37.4026797,
경기,경안지압안마원,"경기도 안양시 동안구 관양동 1474-10, 2층",031-423-3171,/FindShop/Detail?shopId=031-0201,126.9718644,37.404503,경기도 안양시 동안구 관악대로 442
경기,고경환 지압안마원,"경기도 수원시 팔달구 화서2동 644-5, 그린프라자 5층",031-255-3337,/FindShop/Detail?shopId=031-0068,126.9910674,37.2849952,경기도 수원시 팔달구 덕영대로697번길 17 그린프라자
경기,광명바른손안마원,경기도 광명시 철산동 441 그랜드프라자 5층,02.2612.1255,/FindShop/Detail?shopId=031-0144,126.8705587,37.474515,경기도 광명시 디지털로33번길 5
경기,교하보건 안마원,"경기도 파주시 청석로 272(동패동), 센터프라자 405호",031-944-9967,/FindShop/Detail?shopId=031-0223,126.717702,37.7261179,경기도 파주시 청석로 272 센타프라자1
경기,국가대표안마센터 김포점,"경기도 김포시 김포한강8로 382(구래동), 고은메디타워 505호",031-997-8187,/FindShop/Detail?shopId=031-0033,126.6266123,37.6435559,경기도 김포시 김포한강8로 382
경기,국가대표안마원,"경기도 부천시 중동 1141-1, 무광오피스빌딩 4층",032-327-8575,/FindShop/Detail?shopId=031-0173,126.7728441,37.5028999,경기도 부천시 길주로 276 무광오피스빌딩
경기,그린힐마사지지압안마원,"경기 군포시 금정동 870-8, 그린힐스포츠센터 지하1층",031-396-8770,/FindShop/Detail?shopId=031-0032,126.9375659,37.3566508,경기도 군포시 산본로 276
경기,금손지압안마원,경기도 남양주시 별내동 1008 쎈타프라자 901호,010-9251-2978,/FindShop/Detail?shopId=031-0234,127.124981,37.6464215,경기도 남양주시 별내2로 64 쎈타프라자
경기,금오힐링수안마원,"경기도 의정부시 신곡동 761-1, 금오센타프라자 7층금오센타프라자 7층",031-851-2044,/FindShop/Detail?shopId=031-0195,127.0698855,37.749537,경기도 의정부시 청사로5번길 8-17 센타프라자
경기,금파경락지압아마원,"경기도 김포시 김포한강7로22번길 174-106, 1층",031-984-4022,/FindShop/Detail?shopId=031-0160,126.6425533,37.642225,경기도 김포시 김포한강7로22번길 174-106
경기,김승곤지압안마원,"경기도 안양시 만안구 안양동 534, 엘리제빌리지 212호",010-2732-4875,/FindShop/Detail?shopId=031-0186,126.933791,37.3848325,경기도 안양시 만안구 안양로 110 엘리제빌리지
경기,김포보건힐링안마원,"경기도 김포시 풍무동 532-3, 프라임빌복합상가 2층 206호",010-4422-8255,/FindShop/Detail?shopId=031-0205,126.7277976,37.5968543,경기도 김포시 유현로 52 프라임빌복합상가
경기,나은힐링안마원,"경기도 용인시 기흥구 죽전로 29, 포레스트프라자 7층",031-889-6699,/FindShop/Detail?shopId=031-0190,127.1120832,37.3207465,경기도 용인시 기흥구 죽전로 29 포레스트프라자
